model,family,params_b,task,level,n_items,rho,ceiling,share,mass_median
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20,syntax,480,0.2892,0.864,0.3348,0.9996
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_acd_ratings_v4_july_13_2012,syntax,176,0.3693,0.748,0.4938,0.9992
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_acd_v1_jan_2012,discourse,128,0.0846,0.299,0.2831,0.9999
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_acd_v6_oct_25_2012,discourse,128,0.0067,0.602,0.0111,0.9999
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig,syntax,200,0.3926,0.986,0.3982,0.9969
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig,syntax,224,0.3054,0.972,0.3142,0.9967
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo,syntax,120,0.2651,0.912,0.2907,0.9983
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_gs_dec_2009,pragmatics,122,0.475,0.882,0.5385,0.9994
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_gs_jan_2010,pragmatics,133,0.5053,0.906,0.5578,0.9995
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_gs_jan_23_2010,pragmatics,216,0.5563,0.942,0.5905,0.9994
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,pragmatics,72,0.1527,0.873,0.175,0.9993
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_jk_april_4_2010,discourse,96,0.0955,0.886,0.1078,0.9996
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_jk_april_4_expt_3_2010,discourse,96,-0.0903,0.83,-0.1088,0.9997
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_jk_april_9_expt_4_2010,discourse,96,-0.0294,0.831,-0.0354,0.9997
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_jk_june_24_2010_v2,discourse,176,0.1832,0.787,0.2328,0.9996
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_jk_mar_2010,discourse,96,-0.0596,0.88,-0.0677,0.9996
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_jkm_dec_2009,discourse,128,0.1414,0.18,0.7854,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_jkm_jan_2012,discourse,128,0.0107,0.266,0.0403,0.9999
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_dec_2009,discourse,108,0.1312,0.832,0.1577,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_feb_20_2010_v2,discourse,79,-0.409,0.951,-0.43,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_jan_2011,discourse,519,0.094,0.886,0.1061,0.9999
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_jan_2011_v2,discourse,519,0.0875,0.689,0.127,0.9999
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_jan_2011_v3,discourse,519,0.1325,0.886,0.1495,0.9999
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_mar_2010_2,discourse,241,0.0504,0.935,0.0539,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_mar_2010,discourse,123,0.1418,0.951,0.1491,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_may_2010,discourse,148,-0.1276,0.953,-0.1338,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_lb_prelim_oct_2010,discourse,402,0.0444,0.882,0.0504,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_rw_dec_2009,discourse,180,0.2139,0.825,0.2593,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_for_rw_jan_2010,discourse,480,0.1424,0.872,0.1633,0.9998
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater,sentence_semantics,368,0.5033,0.883,0.57,0.9994
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater,sentence_semantics,384,0.5154,0.883,0.5837,0.9994
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,syntax,84,0.256,0.757,0.3382,0.9993
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,syntax,270,0.2754,0.956,0.2881,0.999
Falcon3-1B-Instruct,Falcon 3,1.7,short_acceptability_feb_6_2014,syntax,128,0.0373,0.907,0.0412,0.9995
Falcon3-1B-Instruct,Falcon 3,1.7,susan_canonicity_rerunning_2,syntax,52,0.1373,0.95,0.1446,0.9987
Falcon3-1B-Instruct,Falcon 3,1.7,topicalization_e1,syntax,77,0.5244,0.942,0.5567,0.9993
Falcon3-1B-Instruct,Falcon 3,1.7,verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,188,-0.0761,0.972,-0.0783,0.9999
Falcon3-1B-Instruct,Falcon 3,1.7,verb_causality_study_syntax_ratings_mk_april_2010,syntax,653,0.0345,0.633,0.0545,0.9995
Falcon3-1B-Instruct,Falcon 3,1.7,wm2_wm5_9_59_sentence_naturalness_survey_april_2011,syntax,219,0.2722,0.839,0.3245,0.9985
Falcon3-1B-Instruct,Falcon 3,1.7,word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,subword,158,-0.1607,0.937,-0.1716,0.9985
Falcon3-1B-Instruct,Falcon 3,1.7,word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,subword,45,-0.1499,0.948,-0.1581,0.9987
Falcon3-7B-Instruct,Falcon 3,7.5,50_sentences_noisy_channel_may_25_2011,pragmatics,208,0.1688,0.555,0.3041,0.9962
Falcon3-7B-Instruct,Falcon 3,7.5,50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,sentence_semantics,208,0.3955,0.588,0.6727,0.9956
Falcon3-7B-Instruct,Falcon 3,7.5,acceptability_extension_959_v5,syntax,566,0.7302,0.797,0.9162,0.9962
Falcon3-7B-Instruct,Falcon 3,7.5,acceptability_judgments_kang,syntax,136,0.5683,0.974,0.5834,0.9977
Falcon3-7B-Instruct,Falcon 3,7.5,acceptability_replication_959,syntax,288,0.9078,0.964,0.9417,0.9939
Falcon3-7B-Instruct,Falcon 3,7.5,acd_context_polly_1_nov_23_2012,discourse,310,0.0493,0.462,0.1066,0.9988
Falcon3-7B-Instruct,Falcon 3,7.5,acd_no_context_polly_1_nov_23_2012,syntax,213,0.5762,0.838,0.6876,0.9971
Falcon3-7B-Instruct,Falcon 3,7.5,acd_project_also_3_nov_24_2012_2,syntax,128,0.6462,0.874,0.7393,0.9977
Falcon3-7B-Instruct,Falcon 3,7.5,acd_project_expt_23_also_nov_16_2012,syntax,600,0.5306,0.825,0.6431,0.9976
Falcon3-7B-Instruct,Falcon 3,7.5,acd_project_expt_24_same_diff_verbs_nov_16_2012,syntax,472,0.566,0.89,0.6359,0.9973
Falcon3-7B-Instruct,Falcon 3,7.5,acd_project_expt_31_same_diff_verbs_nov_16_2012_1,syntax,176,0.6616,0.755,0.8762,0.9974
Falcon3-7B-Instruct,Falcon 3,7.5,acd_project_expt_42_also_verbs_nov_29_2012_1,syntax,176,0.3598,0.63,0.5712,0.9977
Falcon3-7B-Instruct,Falcon 3,7.5,acd_project_expt_44_the_same_nov_29_2012_1,syntax,140,0.4762,0.601,0.7924,0.9975
Falcon3-7B-Instruct,Falcon 3,7.5,acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,syntax,360,0.4515,0.774,0.5833,0.9975
Falcon3-7B-Instruct,Falcon 3,7.5,acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,syntax,448,0.3037,0.56,0.5423,0.9977
Falcon3-7B-Instruct,Falcon 3,7.5,active_passive_sentence_naturalness_survey_july_2012,syntax,132,0.614,0.887,0.6922,0.9976
Falcon3-7B-Instruct,Falcon 3,7.5,aixiu_coherence_en_update1,sentence_semantics,277,0.8175,0.882,0.9268,0.9921
Falcon3-7B-Instruct,Falcon 3,7.5,alex_paunov_literal_inferences_dec_3_2011,pragmatics,299,0.6362,0.908,0.7007,0.9986
Falcon3-7B-Instruct,Falcon 3,7.5,amouyal2024_plausibility,sentence_semantics,853,0.5499,0.915,0.6009,0.9992
Falcon3-7B-Instruct,Falcon 3,7.5,animacy_passive_dative_kyle,syntax,120,0.2189,0.926,0.2364,0.9983
Falcon3-7B-Instruct,Falcon 3,7.5,anne_abeille_acceptability_july_12_2017_1,syntax,296,0.4613,0.635,0.7265,0.9991
Falcon3-7B-Instruct,Falcon 3,7.5,base_acceptability_0908,syntax,73,-0.0248,0.931,-0.0266,0.9986
Falcon3-7B-Instruct,Falcon 3,7.5,brief_sentence_naturalness_survey_march_2011,sentence_semantics,64,0.8671,0.96,0.9032,0.9967
Falcon3-7B-Instruct,Falcon 3,7.5,can_noncan_acceptability_0924,syntax,88,0.6764,0.966,0.7002,0.9985
Falcon3-7B-Instruct,Falcon 3,7.5,can_noncan_acceptability_2,syntax,88,0.7008,0.962,0.7285,0.9985
Falcon3-7B-Instruct,Falcon 3,7.5,chinese_dative,discourse,96,0.4637,0.715,0.6486,0.9936
Falcon3-7B-Instruct,Falcon 3,7.5,class_demo,syntax,44,0.3479,0.927,0.3753,0.998
Falcon3-7B-Instruct,Falcon 3,7.5,clefting_e3,syntax,48,0.3456,0.877,0.3941,0.9977
Falcon3-7B-Instruct,Falcon 3,7.5,clefting_e4,syntax,48,0.5946,0.969,0.6136,0.9976
Falcon3-7B-Instruct,Falcon 3,7.5,coherence_survey_list1_main,discourse,100,0.8768,0.95,0.9229,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,coherence_survey_list2_main,discourse,100,0.8917,0.948,0.9407,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,coherence_survey_list3_main,discourse,100,0.86,0.942,0.9129,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,coherence_survey_list4_main,discourse,100,0.8652,0.95,0.9108,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,constituency_tests_2,syntax,48,0.694,0.836,0.8301,0.9984
Falcon3-7B-Instruct,Falcon 3,7.5,constituency_tests,syntax,48,0.5329,0.654,0.8148,0.9981
Falcon3-7B-Instruct,Falcon 3,7.5,copy_cat_polly_june_2014,discourse,102,0.6006,0.865,0.6943,0.9992
Falcon3-7B-Instruct,Falcon 3,7.5,copy_of_verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,62,0.3783,0.83,0.4558,0.9993
Falcon3-7B-Instruct,Falcon 3,7.5,crossed_dependencies_long,syntax,201,0.3104,0.899,0.3453,0.9981
Falcon3-7B-Instruct,Falcon 3,7.5,cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,syntax,210,0.5569,0.896,0.6216,0.9991
Falcon3-7B-Instruct,Falcon 3,7.5,cul_jack_sentence_naturalness_survey_april_2010,syntax,220,0.7594,0.952,0.7977,0.9981
Falcon3-7B-Instruct,Falcon 3,7.5,dative_alternation_extension_version_2,syntax,229,0.4676,0.456,1.0254,0.9988
Falcon3-7B-Instruct,Falcon 3,7.5,dative_finnish,discourse,96,-0.0284,0.689,-0.0412,0.0007
Falcon3-7B-Instruct,Falcon 3,7.5,dative_turkish,discourse,96,-0.0781,0.734,-0.1065,0.1017
Falcon3-7B-Instruct,Falcon 3,7.5,dentella2023_grammaticality,syntax,80,0.5473,0.981,0.5579,0.9906
Falcon3-7B-Instruct,Falcon 3,7.5,depth_charge_survey,sentence_semantics,188,0.5206,0.846,0.6154,0.9911
Falcon3-7B-Instruct,Falcon 3,7.5,depth_charge_with_noise,sentence_semantics,188,0.6263,0.854,0.7334,0.9906
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_30subjs_list1,discourse,100,0.8628,0.941,0.9169,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_30subjs_list2,discourse,100,0.8784,0.951,0.9237,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_30subjs_list3,discourse,100,0.8957,0.947,0.9458,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_30subjs_list4,discourse,100,0.8823,0.942,0.9366,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_causality_list1,discourse,100,0.8563,0.935,0.9158,0.9996
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_causality_list2,discourse,100,0.8308,0.952,0.8727,0.9995
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_causality_list3,discourse,100,0.8225,0.933,0.8816,0.9993
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_causality_list4,discourse,100,0.7939,0.955,0.8313,0.9993
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_changed_0428,discourse,48,0.888,0.953,0.9318,0.9999
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_coherence_list1,discourse,100,0.8618,0.943,0.9139,0.9988
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_coherence_list2,discourse,100,0.8245,0.936,0.8809,0.9988
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_coherence_list3,discourse,100,0.8572,0.95,0.9024,0.9989
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_coherence_list4,discourse,100,0.8285,0.933,0.888,0.9985
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_imagability_pairs_list1,sentence_semantics,100,0.6279,0.917,0.6847,0.9995
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_imagability_pairs_list2,sentence_semantics,100,0.7431,0.946,0.7856,0.9994
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_imagability_singles_list1,sentence_semantics,100,0.8193,0.938,0.8734,0.9994
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_imagability_singles_list2,sentence_semantics,100,0.8778,0.954,0.9201,0.9994
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_imagability_singles_list3,sentence_semantics,100,0.842,0.931,0.9045,0.9994
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_imagability_singles_list4,sentence_semantics,100,0.8442,0.948,0.8906,0.9994
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_mentalizing_pairs_list1,sentence_semantics,100,0.743,0.928,0.8007,0.9992
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_mentalizing_pairs_list2,sentence_semantics,100,0.6717,0.931,0.7215,0.9992
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_mentalizing_singles_list1,sentence_semantics,100,0.6321,0.935,0.676,0.9992
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_mentalizing_singles_list2,sentence_semantics,100,0.7037,0.925,0.7608,0.999
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_mentalizing_singles_list3,sentence_semantics,100,0.6363,0.909,0.7,0.9992
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_mentalizing_singles_list4,sentence_semantics,100,0.7739,0.952,0.813,0.9991
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_physics_pairs_list1,sentence_semantics,100,0.6572,0.957,0.6867,0.9995
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_physics_pairs_list2,sentence_semantics,100,0.7389,0.951,0.777,0.9994
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_physics_singles_list1,sentence_semantics,100,0.832,0.943,0.8822,0.9995
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_physics_singles_list2,sentence_semantics,100,0.7459,0.952,0.7835,0.9994
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_physics_singles_list3,sentence_semantics,100,0.8299,0.941,0.8819,0.9995
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_physics_singles_list4,sentence_semantics,100,0.8099,0.942,0.8597,0.9993
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_scenes_pairs_list1,sentence_semantics,100,0.826,0.944,0.8751,0.9989
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_scenes_pairs_list2,sentence_semantics,100,0.8563,0.95,0.9014,0.9988
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_scenes_singles_list1,sentence_semantics,100,0.8608,0.944,0.9119,0.9986
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_scenes_singles_list2,sentence_semantics,100,0.8275,0.949,0.872,0.9979
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_scenes_singles_list3,sentence_semantics,100,0.8423,0.966,0.872,0.9984
Falcon3-7B-Instruct,Falcon 3,7.5,discourse_scenes_singles_list4,sentence_semantics,100,0.8658,0.964,0.8981,0.9981
Falcon3-7B-Instruct,Falcon 3,7.5,diveica2023_socialness,lexical_semantics,1000,0.8344,0.883,0.9449,0.9999
Falcon3-7B-Instruct,Falcon 3,7.5,ecog_sentences_imaginability_jan_8_2014,sentence_semantics,120,0.0894,0.833,0.1073,0.9974
Falcon3-7B-Instruct,Falcon 3,7.5,ecog_sentences_naturalness_jan_8_2014_2,sentence_semantics,120,0.4946,0.727,0.6803,0.9966
Falcon3-7B-Instruct,Falcon 3,7.5,edwards2024_spelling_to_pronunciation_transparency,subword,1000,0.5882,0.826,0.7121,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,erp_norming_error_detection_june_2013_4,syntax,323,0.1505,0.841,0.179,0.998
Falcon3-7B-Instruct,Falcon 3,7.5,erp_sentence_naturalness_survey_june_2013_2,syntax,483,0.7206,0.922,0.7815,0.9979
Falcon3-7B-Instruct,Falcon 3,7.5,eunice_disfluency_2_nov_17_2011,syntax,190,0.5425,0.832,0.652,0.9982
Falcon3-7B-Instruct,Falcon 3,7.5,eunice_disfluency_nov_15_2011,syntax,468,0.3781,0.807,0.4686,0.9981
Falcon3-7B-Instruct,Falcon 3,7.5,european_portuguese_rc,syntax,174,0.7043,0.84,0.8385,0.9782
Falcon3-7B-Instruct,Falcon 3,7.5,european_portuguese_wh,syntax,174,0.5714,0.893,0.6399,0.9765
Falcon3-7B-Instruct,Falcon 3,7.5,extension,syntax,138,0.6855,0.872,0.7862,0.9942
Falcon3-7B-Instruct,Falcon 3,7.5,gabriel_rc,syntax,174,0.6136,0.818,0.7501,0.9788
Falcon3-7B-Instruct,Falcon 3,7.5,gabriel_wh,syntax,174,0.5456,0.902,0.6049,0.9756
Falcon3-7B-Instruct,Falcon 3,7.5,giurgea2025_motivation,lexical_semantics,1000,0.7207,0.856,0.8419,1.0
Falcon3-7B-Instruct,Falcon 3,7.5,huang_response_set1a,syntax,288,0.4938,0.966,0.5112,0.9945
Falcon3-7B-Instruct,Falcon 3,7.5,huang_response_set1b,syntax,288,0.4777,0.964,0.4956,0.9942
Falcon3-7B-Instruct,Falcon 3,7.5,huang_response_set2a,syntax,288,0.6559,0.97,0.6762,0.9946
Falcon3-7B-Instruct,Falcon 3,7.5,huang_response_set2a_declaratives,syntax,288,0.5857,0.97,0.6038,0.9951
Falcon3-7B-Instruct,Falcon 3,7.5,huang_response_set2b,syntax,288,0.6485,0.97,0.6685,0.9943
Falcon3-7B-Instruct,Falcon 3,7.5,huang_response_set2b_declaratives,syntax,288,0.6539,0.974,0.6714,0.9948
Falcon3-7B-Instruct,Falcon 3,7.5,imperative_control_iad_gs_may_16_2011_purple_puppy,pragmatics,96,0.5719,0.86,0.6651,0.9996
Falcon3-7B-Instruct,Falcon 3,7.5,isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c,syntax,256,0.5838,0.885,0.6597,0.9979
Falcon3-7B-Instruct,Falcon 3,7.5,islands_acceptability_expt_2_dec_2_2012,syntax,480,0.6124,0.874,0.7007,0.9978
Falcon3-7B-Instruct,Falcon 3,7.5,italian_dative_v2,discourse,192,0.138,0.604,0.2285,0.9787
Falcon3-7B-Instruct,Falcon 3,7.5,italian_locative_v7,discourse,192,0.2856,0.66,0.4327,0.975
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_auditory,lexical_semantics,1000,0.3933,0.831,0.4733,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_foot_leg,lexical_semantics,1000,0.4319,0.729,0.5925,0.9997
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_gustatory,lexical_semantics,1000,0.306,0.545,0.5614,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_hand_arm,lexical_semantics,1000,0.2058,0.783,0.2628,0.9996
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_haptic,lexical_semantics,1000,0.4164,0.808,0.5153,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_head,lexical_semantics,1000,0.3655,0.57,0.6412,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_interoceptive,lexical_semantics,1000,0.6127,0.778,0.7876,0.9996
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_mouth,lexical_semantics,1000,0.4174,0.777,0.5371,0.9995
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_olfactory,lexical_semantics,1000,0.384,0.622,0.6174,0.9997
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_torso,lexical_semantics,1000,0.2754,0.675,0.408,0.9998
Falcon3-7B-Instruct,Falcon 3,7.5,lancaster2020_visual,lexical_semantics,1000,0.4968,0.767,0.6477,0.9995
Falcon3-7B-Instruct,Falcon 3,7.5,lauren_sentence_naturalness_survey_expt3_nov_17_2011,syntax,460,0.4981,0.633,0.787,0.998
Falcon3-7B-Instruct,Falcon 3,7.5,lauren_sentence_naturalness_survey_expt_2_nov_15_2011,syntax,252,0.5042,0.712,0.7082,0.9977
Falcon3-7B-Instruct,Falcon 3,7.5,lauren_sentence_naturalness_survey_oct_14_2011,syntax,360,0.6206,0.703,0.8829,0.9977
Falcon3-7B-Instruct,Falcon 3,7.5,lexical_frame_adjectives_likert_set1,syntax,384,0.5101,0.83,0.6146,0.995
Falcon3-7B-Instruct,Falcon 3,7.5,lexical_frame_adjectives_likert_set2,syntax,384,0.4072,0.744,0.5473,0.9947
Falcon3-7B-Instruct,Falcon 3,7.5,lexical_frame_adjectives_likert_set3,syntax,384,0.4478,0.873,0.5129,0.9946
Falcon3-7B-Instruct,Falcon 3,7.5,locative_topicalization_survey,discourse,229,0.3682,0.777,0.4739,0.9989
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_arousal_mar_2013,lexical_semantics,1000,0.5168,0.883,0.5853,0.9983
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_arousal_mar_2013_end_2,lexical_semantics,242,0.5024,0.85,0.591,0.9985
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_arousal_mar_2014,lexical_semantics,1000,0.6124,0.863,0.7096,0.9983
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_arousal_mar_2014_end_1,lexical_semantics,242,0.6966,0.886,0.7862,0.9983
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_concreteness_mar_2013,lexical_semantics,1000,0.3789,0.956,0.3964,0.9971
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_concreteness_mar_2013_end_1,lexical_semantics,242,0.3106,0.959,0.3239,0.9974
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_concreteness_mar_2014,lexical_semantics,1000,0.3941,0.952,0.414,0.9971
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_concreteness_mar_2014_end_1,lexical_semantics,242,0.4259,0.955,0.446,0.9971
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_imageability_mar_2013,lexical_semantics,1000,0.6493,0.961,0.6756,0.9986
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_imageability_mar_2013_end_1,lexical_semantics,242,0.6354,0.963,0.6599,0.9985
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_imageability_mar_2014,lexical_semantics,1000,0.4679,0.948,0.4936,0.998
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_imageability_mar_2014_end_1,lexical_semantics,242,0.433,0.964,0.4492,0.998
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_valence_mar_2013,lexical_semantics,1000,0.6108,0.948,0.6443,0.9971
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_valence_mar_2013_end_1,lexical_semantics,242,0.8472,0.966,0.877,0.9977
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_valence_mar_2014,lexical_semantics,1000,0.823,0.961,0.8564,0.9981
Falcon3-7B-Instruct,Falcon 3,7.5,massive_mem_valence_mar_2014_end_1,lexical_semantics,242,0.8645,0.959,0.9015,0.9981
Falcon3-7B-Instruct,Falcon 3,7.5,melissa_short_naturalness_test,sentence_semantics,24,0.8215,0.968,0.8486,0.9978
Falcon3-7B-Instruct,Falcon 3,7.5,missing_vp_extension_0501_final,syntax,72,0.4232,0.741,0.5712,0.9994
Falcon3-7B-Instruct,Falcon 3,7.5,missing_vp_extension,syntax,80,0.5846,0.881,0.6635,0.9991
Falcon3-7B-Instruct,Falcon 3,7.5,missing_vp_rereplication,syntax,72,0.4588,0.707,0.6489,0.999
Falcon3-7B-Instruct,Falcon 3,7.5,mk_grammaticality_study_7_20,syntax,1000,0.0817,0.876,0.0932,0.9974
Falcon3-7B-Instruct,Falcon 3,7.5,muraki2023_concreteness,lexical_semantics,1000,0.4647,0.829,0.5605,0.9997
Falcon3-7B-Instruct,Falcon 3,7.5,noisy_channel_acceptability_1_sept_2013_1,syntax,496,0.7972,0.921,0.8656,0.9974
Falcon3-7B-Instruct,Falcon 3,7.5,noisy_channel_acceptability_2_sept_2013,syntax,380,0.832,0.965,0.8622,0.9975
Falcon3-7B-Instruct,Falcon 3,7.5,noisy_rc_norming_oct19,sentence_semantics,128,0.6703,0.838,0.7999,0.9968
Falcon3-7B-Instruct,Falcon 3,7.5,of_acceptability_2,syntax,88,0.6383,0.951,0.6712,0.9985
Falcon3-7B-Instruct,Falcon 3,7.5,orange_camel_sentence_naturalness_survey_nov_2010,discourse,144,0.6751,0.861,0.784,0.9982
Falcon3-7B-Instruct,Falcon 3,7.5,orc_lauren_sentence_naturalness_survey_july_2012,syntax,192,0.5705,0.948,0.6018,0.9978
Falcon3-7B-Instruct,Falcon 3,7.5,p_p_sentence_naturalness_survey_aug_2010,syntax,252,0.5219,0.859,0.6076,0.9979
Falcon3-7B-Instruct,Falcon 3,7.5,p_p_sentence_naturalness_survey_dec_2009,syntax,324,0.5198,0.95,0.5472,0.9973
Falcon3-7B-Instruct,Falcon 3,7.5,p_p_sentence_naturalness_survey_feb,syntax,614,0.3097,0.664,0.4664,0.9975
Falcon3-7B-Instruct,Falcon 3,7.5,p_p_sentence_naturalness_survey_june_2013_v3,syntax,242,0.4335,0.928,0.4671,0.996
Falcon3-7B-Instruct,Falcon 3,7.5,paris_judgments_3_dec_2012,syntax,477,0.4972,0.845,0.5884,0.9974
Falcon3-7B-Instruct,Falcon 3,7.5,pascal_1_dec_2012,syntax,544,0.1755,0.066,2.6584,0.9662
Falcon3-7B-Instruct,Falcon 3,7.5,presup_survey_1_acd_july_2012,pragmatics,240,0.5532,0.83,0.6665,0.9978
