task,level,sublevel,source,language,scale,n_items,n_ratings,ratings_per_item,individual_ratings,human_r_sb,human_rho_sb,merged_from,path
depth_charge_with_noise,sentence_semantics,plausibility,surveyor,english,1-7,188,3206,10,yes,0.857,0.854,,data/sentence_semantics/depth_charge_with_noise
discourse_imagability_pairs_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2992,30,yes,0.919,0.917,,data/sentence_semantics/discourse_imagability_pairs_list1
discourse_imagability_pairs_list2,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2991,30,yes,0.953,0.946,,data/sentence_semantics/discourse_imagability_pairs_list2
discourse_imagability_singles_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2995,30,yes,0.94,0.938,,data/sentence_semantics/discourse_imagability_singles_list1
discourse_imagability_singles_list2,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2990,30,yes,0.951,0.954,,data/sentence_semantics/discourse_imagability_singles_list2
discourse_imagability_singles_list3,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2995,30,yes,0.944,0.931,,data/sentence_semantics/discourse_imagability_singles_list3
discourse_imagability_singles_list4,sentence_semantics,conceptual_content,surveyor,english,1-7,100,3094,31,yes,0.955,0.948,,data/sentence_semantics/discourse_imagability_singles_list4
discourse_mentalizing_pairs_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2989,30,yes,0.929,0.928,,data/sentence_semantics/discourse_mentalizing_pairs_list1
discourse_mentalizing_pairs_list2,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2975,30,yes,0.94,0.931,,data/sentence_semantics/discourse_mentalizing_pairs_list2
discourse_mentalizing_singles_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2993,30,yes,0.937,0.935,,data/sentence_semantics/discourse_mentalizing_singles_list1
discourse_mentalizing_singles_list2,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2987,30,yes,0.932,0.925,,data/sentence_semantics/discourse_mentalizing_singles_list2
discourse_mentalizing_singles_list3,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2984,30,yes,0.907,0.909,,data/sentence_semantics/discourse_mentalizing_singles_list3
discourse_mentalizing_singles_list4,sentence_semantics,conceptual_content,surveyor,english,1-7,100,3092,31,yes,0.953,0.952,,data/sentence_semantics/discourse_mentalizing_singles_list4
discourse_physics_pairs_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2993,30,yes,0.959,0.957,,data/sentence_semantics/discourse_physics_pairs_list1
discourse_physics_pairs_list2,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2984,30,yes,0.953,0.951,,data/sentence_semantics/discourse_physics_pairs_list2
discourse_physics_singles_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2991,30,yes,0.944,0.943,,data/sentence_semantics/discourse_physics_singles_list1
discourse_physics_singles_list2,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2982,30,yes,0.951,0.952,,data/sentence_semantics/discourse_physics_singles_list2
discourse_physics_singles_list3,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2985,30,yes,0.942,0.941,,data/sentence_semantics/discourse_physics_singles_list3
discourse_physics_singles_list4,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2991,30,yes,0.942,0.942,,data/sentence_semantics/discourse_physics_singles_list4
discourse_scenes_pairs_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2993,30,yes,0.952,0.944,,data/sentence_semantics/discourse_scenes_pairs_list1
discourse_scenes_pairs_list2,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2992,30,yes,0.95,0.95,,data/sentence_semantics/discourse_scenes_pairs_list2
discourse_scenes_singles_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2991,30,yes,0.944,0.944,,data/sentence_semantics/discourse_scenes_singles_list1
discourse_scenes_singles_list2,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2990,30,yes,0.956,0.949,,data/sentence_semantics/discourse_scenes_singles_list2
discourse_scenes_singles_list3,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2991,30,yes,0.969,0.966,,data/sentence_semantics/discourse_scenes_singles_list3
discourse_scenes_singles_list4,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2990,30,yes,0.968,0.964,,data/sentence_semantics/discourse_scenes_singles_list4
ecog_sentences_imaginability_jan_8_2014,sentence_semantics,conceptual_content,mturk,english,1-5,120,4784,40,yes,0.869,0.833,,data/sentence_semantics/ecog_sentences_imaginability_jan_8_2014
ecog_sentences_naturalness_jan_8_2014_2,sentence_semantics,plausibility,mturk,english,1-5,120,4441,37,yes,0.903,0.727,,data/sentence_semantics/ecog_sentences_naturalness_jan_8_2014_2
melissa_short_naturalness_test,sentence_semantics,plausibility,mturk,english,1-5,24,1431,60,yes,0.988,0.968,,data/sentence_semantics/melissa_short_naturalness_test
noisy_rc_norming_oct19,sentence_semantics,plausibility,mturk,english,1-5,128,1274,10,yes,0.901,0.838,,data/sentence_semantics/noisy_rc_norming_oct19
semantics1_finalproject,sentence_semantics,plausibility,mturk,english,1-5,96,4783,50,yes,0.993,0.972,,data/sentence_semantics/semantics1_finalproject
semantics2_finalproject,sentence_semantics,plausibility,mturk,english,1-5,96,9483,99,yes,0.994,0.986,,data/sentence_semantics/semantics2_finalproject
sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater,sentence_semantics,plausibility,mturk,english,1-7,368,5462,15,yes,0.903,0.883,,data/sentence_semantics/sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater
sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater,sentence_semantics,plausibility,mturk,english,1-7,384,5647,15,yes,0.906,0.883,,data/sentence_semantics/sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater
tuckute2024_arousal,sentence_semantics,affective,published,english,1-7,2000,0,,no,,,,data/sentence_semantics/tuckute2024_arousal
tuckute2024_imageability,sentence_semantics,conceptual_content,published,english,1-7,2000,0,,no,,,,data/sentence_semantics/tuckute2024_imageability
tuckute2024_mental_states,sentence_semantics,conceptual_content,published,english,1-7,2000,0,,no,,,,data/sentence_semantics/tuckute2024_mental_states
tuckute2024_physical_objects,sentence_semantics,conceptual_content,published,english,1-7,2000,0,,no,,,,data/sentence_semantics/tuckute2024_physical_objects
tuckute2024_places,sentence_semantics,conceptual_content,published,english,1-7,2000,0,,no,,,,data/sentence_semantics/tuckute2024_places
tuckute2024_plausibility,sentence_semantics,plausibility,published,english,1-7,2000,0,,no,,,,data/sentence_semantics/tuckute2024_plausibility
tuckute2024_valence,sentence_semantics,affective,published,english,1-7,2000,0,,no,,,,data/sentence_semantics/tuckute2024_valence
50_sentences_noisy_channel_may_25_2011,pragmatics,,mturk,english,1-5,208,3107,15,yes,0.602,0.555,,data/pragmatics/50_sentences_noisy_channel_may_25_2011
alex_paunov_literal_inferences_dec_3_2011,pragmatics,,mturk,english,1-5,299,2979,10,yes,0.941,0.908,,data/pragmatics/alex_paunov_literal_inferences_dec_3_2011
imperative_control_iad_gs_may_16_2011_purple_puppy,pragmatics,,mturk,english,1-5,96,2873,20,yes,0.847,0.86,,data/pragmatics/imperative_control_iad_gs_may_16_2011_purple_puppy
presup_survey_1_acd_july_2012,pragmatics,,mturk,english,1-5,240,7251,30,yes,0.819,0.83,presup_survey_3_acd_july_2012,data/pragmatics/presup_survey_1_acd_july_2012
presup_survey_2_acd_july_2012,pragmatics,,mturk,english,1-5,240,3532,15,yes,0.675,0.665,,data/pragmatics/presup_survey_2_acd_july_2012
pronouns_following_verbs,pragmatics,,mturk,english,1-3,44,3478,79,yes,0.928,0.706,,data/pragmatics/pronouns_following_verbs
pronouns_following_verbs_an,pragmatics,,mturk,english,1-3,44,3511,80,yes,0.935,0.663,pronouns_following_verbs_an_2,data/pragmatics/pronouns_following_verbs_an
pronouns_following_verbs_ce,pragmatics,,mturk,english,1-3,44,3504,80,yes,0.94,0.708,pronouns_following_verbs_ce_2,data/pragmatics/pronouns_following_verbs_ce
pronouns_following_verbs_sm,pragmatics,,mturk,english,1-3,44,3470,79,yes,0.902,0.443,,data/pragmatics/pronouns_following_verbs_sm
pronouns_following_verbs_so,pragmatics,,mturk,english,1-3,44,3508,80,yes,0.868,0.509,pronouns_following_verbs_so_2,data/pragmatics/pronouns_following_verbs_so
pronouns_following_verbs_ve,pragmatics,,mturk,english,1-3,45,3514,80,yes,0.93,0.567,,data/pragmatics/pronouns_following_verbs_ve
semantics3_final_project,pragmatics,,mturk,english,1-5,96,9576,100,yes,0.997,0.974,,data/pragmatics/semantics3_final_project
sentence_naturalness_survey_for_gs_dec_2009,pragmatics,,mturk,english,1-5,122,5294,20,yes,0.884,0.882,,data/pragmatics/sentence_naturalness_survey_for_gs_dec_2009
sentence_naturalness_survey_for_gs_jan_2010,pragmatics,,mturk,english,1-5,133,5004,20,yes,0.913,0.906,,data/pragmatics/sentence_naturalness_survey_for_gs_jan_2010
sentence_naturalness_survey_for_gs_jan_23_2010,pragmatics,,mturk,english,1-5,216,12549,39,yes,0.941,0.942,sentence_naturalness_survey_for_gs_apr_4_2010,data/pragmatics/sentence_naturalness_survey_for_gs_jan_23_2010
sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,pragmatics,,mturk,english,1-5,72,2818,30,yes,0.911,0.873,,data/pragmatics/sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy
acd_context_polly_1_nov_23_2012,discourse,,mturk,english,1-5,310,28701,30,yes,0.466,0.462,,data/discourse/acd_context_polly_1_nov_23_2012
chinese_dative,discourse,,surveyor,non-english,1-5,96,1200,12,yes,0.731,0.715,,data/discourse/chinese_dative
coherence_survey_list1_main,discourse,,surveyor,english,1-5,100,1999,20,yes,0.981,0.95,,data/discourse/coherence_survey_list1_main
coherence_survey_list2_main,discourse,,surveyor,english,1-5,100,1998,20,yes,0.988,0.948,,data/discourse/coherence_survey_list2_main
coherence_survey_list3_main,discourse,,surveyor,english,1-5,100,1989,20,yes,0.985,0.942,,data/discourse/coherence_survey_list3_main
coherence_survey_list4_main,discourse,,surveyor,english,1-5,100,1994,20,yes,0.982,0.95,,data/discourse/coherence_survey_list4_main
copy_cat_polly_june_2014,discourse,,mturk,english,1-7,102,7574,59,yes,0.972,0.865,copy_cat_polly_dec_2013_1;copy_cat_polly_june_2014_v2_1,data/discourse/copy_cat_polly_june_2014
dative_finnish,discourse,,surveyor,non-english,1-5,96,1199,12,yes,0.699,0.689,,data/discourse/dative_finnish
dative_turkish,discourse,,surveyor,non-english,1-5,96,1198,12,yes,0.725,0.734,,data/discourse/dative_turkish
discourse_30subjs_list1,discourse,,surveyor,english,1-5,100,3086,31,yes,0.984,0.941,,data/discourse/discourse_30subjs_list1
discourse_30subjs_list2,discourse,,surveyor,english,1-5,100,2498,25,yes,0.984,0.951,,data/discourse/discourse_30subjs_list2
discourse_30subjs_list3,discourse,,surveyor,english,1-5,100,2993,30,yes,0.988,0.947,,data/discourse/discourse_30subjs_list3
discourse_30subjs_list4,discourse,,surveyor,english,1-5,100,3294,33,yes,0.99,0.942,,data/discourse/discourse_30subjs_list4
discourse_causality_list1,discourse,,surveyor,english,1-7,100,3091,31,yes,0.985,0.935,,data/discourse/discourse_causality_list1
discourse_causality_list2,discourse,,surveyor,english,1-7,100,2690,27,yes,0.985,0.952,,data/discourse/discourse_causality_list2
discourse_causality_list3,discourse,,surveyor,english,1-7,100,2886,29,yes,0.985,0.933,,data/discourse/discourse_causality_list3
discourse_causality_list4,discourse,,surveyor,english,1-7,100,2992,30,yes,0.984,0.955,,data/discourse/discourse_causality_list4
discourse_changed_0428,discourse,,surveyor,english,1-5,48,1438,30,yes,0.989,0.953,,data/discourse/discourse_changed_0428
discourse_coherence_list1,discourse,,surveyor,english,1-7,100,2795,28,yes,0.991,0.943,,data/discourse/discourse_coherence_list1
discourse_coherence_list2,discourse,,surveyor,english,1-7,100,2999,30,yes,0.992,0.936,,data/discourse/discourse_coherence_list2
discourse_coherence_list3,discourse,,surveyor,english,1-7,100,2993,30,yes,0.994,0.95,,data/discourse/discourse_coherence_list3
discourse_coherence_list4,discourse,,surveyor,english,1-7,100,2483,25,yes,0.976,0.933,,data/discourse/discourse_coherence_list4
italian_dative_v2,discourse,,surveyor,non-english,1-5,192,1246,6,yes,0.611,0.604,,data/discourse/italian_dative_v2
italian_locative_v7,discourse,,surveyor,non-english,1-5,192,1198,6,yes,0.668,0.66,,data/discourse/italian_locative_v7
locative_topicalization_survey,discourse,,surveyor,english,1-5,229,2172,5,yes,0.766,0.777,,data/discourse/locative_topicalization_survey
orange_camel_sentence_naturalness_survey_nov_2010,discourse,,mturk,english,1-5,144,2799,10,yes,0.965,0.861,,data/discourse/orange_camel_sentence_naturalness_survey_nov_2010
replication_study_9_59,discourse,,surveyor,english,1-5,185,718,4,yes,0.355,0.363,,data/discourse/replication_study_9_59
sentence_naturalness_survey_acd_v1_jan_2012,discourse,,mturk,english,1-5,128,6128,27,yes,0.266,0.299,,data/discourse/sentence_naturalness_survey_acd_v1_jan_2012
sentence_naturalness_survey_acd_v6_oct_25_2012,discourse,,mturk,english,1-5,128,6653,30,yes,0.611,0.602,,data/discourse/sentence_naturalness_survey_acd_v6_oct_25_2012
sentence_naturalness_survey_for_jk_april_4_2010,discourse,,mturk,english,1-5,96,3814,20,yes,0.863,0.886,,data/discourse/sentence_naturalness_survey_for_jk_april_4_2010
sentence_naturalness_survey_for_jk_april_4_expt_3_2010,discourse,,mturk,english,1-5,96,3963,21,yes,0.86,0.83,,data/discourse/sentence_naturalness_survey_for_jk_april_4_expt_3_2010
sentence_naturalness_survey_for_jk_april_9_expt_4_2010,discourse,,mturk,english,1-5,96,3785,20,yes,0.866,0.831,,data/discourse/sentence_naturalness_survey_for_jk_april_9_expt_4_2010
sentence_naturalness_survey_for_jk_june_24_2010_v2,discourse,,mturk,english,1-5,176,4064,10,yes,0.805,0.787,,data/discourse/sentence_naturalness_survey_for_jk_june_24_2010_v2
sentence_naturalness_survey_for_jk_mar_2010,discourse,,mturk,english,1-5,96,3803,20,yes,0.896,0.88,,data/discourse/sentence_naturalness_survey_for_jk_mar_2010
sentence_naturalness_survey_for_jkm_dec_2009,discourse,,mturk,english,1-5,128,4350,20,yes,0.116,0.18,,data/discourse/sentence_naturalness_survey_for_jkm_dec_2009
sentence_naturalness_survey_for_jkm_jan_2012,discourse,,mturk,english,1-5,128,2225,10,yes,0.214,0.266,,data/discourse/sentence_naturalness_survey_for_jkm_jan_2012
sentence_naturalness_survey_for_lb_dec_2009,discourse,,mturk,english,1-5,108,6017,40,yes,0.821,0.832,,data/discourse/sentence_naturalness_survey_for_lb_dec_2009
sentence_naturalness_survey_for_lb_feb_20_2010_v2,discourse,,mturk,english,1-5,79,5424,56,yes,0.973,0.951,sentence_naturalness_survey_for_lb_feb_2010;sentence_naturalness_survey_for_lb_feb_20_2010,data/discourse/sentence_naturalness_survey_for_lb_feb_20_2010_v2
sentence_naturalness_survey_for_lb_jan_2011,discourse,,mturk,english,1-5,519,11504,19,yes,0.907,0.886,,data/discourse/sentence_naturalness_survey_for_lb_jan_2011
sentence_naturalness_survey_for_lb_jan_2011_v2,discourse,,mturk,english,1-5,519,11822,20,yes,0.773,0.689,,data/discourse/sentence_naturalness_survey_for_lb_jan_2011_v2
sentence_naturalness_survey_for_lb_jan_2011_v3,discourse,,mturk,english,1-5,519,11655,20,yes,0.892,0.886,,data/discourse/sentence_naturalness_survey_for_lb_jan_2011_v3
sentence_naturalness_survey_for_lb_mar_2010,discourse,,mturk,english,1-5,123,8785,58,yes,0.941,0.951,,data/discourse/sentence_naturalness_survey_for_lb_mar_2010
sentence_naturalness_survey_for_lb_mar_2010_2,discourse,,mturk,english,1-5,241,8799,29,yes,0.932,0.935,,data/discourse/sentence_naturalness_survey_for_lb_mar_2010_2
sentence_naturalness_survey_for_lb_may_2010,discourse,,mturk,english,1-5,148,6823,41,yes,0.973,0.953,,data/discourse/sentence_naturalness_survey_for_lb_may_2010
sentence_naturalness_survey_for_lb_prelim_oct_2010,discourse,,mturk,english,1-5,402,7933,17,yes,0.876,0.882,sentence_naturalness_survey_for_lb_v2_oct_2010,data/discourse/sentence_naturalness_survey_for_lb_prelim_oct_2010
sentence_naturalness_survey_for_rw_dec_2009,discourse,,mturk,english,1-5,180,7164,20,yes,0.822,0.825,,data/discourse/sentence_naturalness_survey_for_rw_dec_2009
sentence_naturalness_survey_for_rw_jan_2010,discourse,,mturk,english,1-5,480,21443,20,yes,0.873,0.872,,data/discourse/sentence_naturalness_survey_for_rw_jan_2010
agreement_norming_nov_17,other,sentence,mturk,english,1-5,159,3733,15,yes,0.711,0.692,,data/other/agreement_norming_nov_17
agreement_norming_nov_18,other,sentence,mturk,english,1-5,127,1916,15,yes,0.838,0.818,,data/other/agreement_norming_nov_18
devarda2023_predictability,other,lexical,published,english,1-5,1726,101400,59,yes,0.963,0.959,,data/other/devarda2023_predictability
extension_study,other,lexical,surveyor,english,1-7,142,1073,8,yes,0.626,0.559,,data/other/extension_study
green2025_aoa_reading,other,lexical,published,english,,11074,388568,36,yes,0.817,0.801,,data/other/green2025_aoa_reading
green2025_aoa_writing,other,lexical,published,english,,11074,401860,37,yes,0.831,0.805,,data/other/green2025_aoa_writing
kuperman2012_age_of_acquisition,other,lexical,published,english,,31124,636147,,no,,,,data/other/kuperman2012_age_of_acquisition
massive_mem_familiarity_mar_2013,other,lexical,mturk,english,1-5,2020,64408,30,yes,0.95,0.908,,data/other/massive_mem_familiarity_mar_2013
massive_mem_familiarity_mar_2013_end_1,other,lexical,mturk,english,1-5,242,7222,30,yes,0.967,0.92,,data/other/massive_mem_familiarity_mar_2013_end_1
massive_mem_familiarity_mar_2014,other,lexical,mturk,english,1-5,2020,63880,30,yes,0.961,0.885,,data/other/massive_mem_familiarity_mar_2014
massive_mem_familiarity_mar_2014_end_1,other,lexical,mturk,english,1-5,242,7174,30,yes,0.961,0.817,,data/other/massive_mem_familiarity_mar_2014_end_1
neal_norming_1,other,sentence,mturk,english,1-5,704,12940,23,yes,0.889,0.815,,data/other/neal_norming_1
scott2018_age_of_acquisition,other,lexical,published,english,1-7,5553,188476,,no,,,,data/other/scott2018_age_of_acquisition
scott2018_familiarity,other,lexical,published,english,1-7,5553,179710,,no,,,,data/other/scott2018_familiarity
tuckute2024_conversational_frequency,other,sentence,published,english,1-7,2000,0,,no,,,,data/other/tuckute2024_conversational_frequency
tuckute2024_general_frequency,other,sentence,published,english,1-7,2000,0,,no,,,,data/other/tuckute2024_general_frequency
word_length_context_sentence_naturalness_survey_april_2011,other,sentence,mturk,english,1-5,131,4774,20,yes,0.816,0.762,,data/other/word_length_context_sentence_naturalness_survey_april_2011
