source,study,task,domain,subdomain,matched_on,is_fallback,n_items,n_ratings,has_individual,split_half_r
mturk,mturk,mk_grammaticality_study_7_20,Syntax,Acceptability / naturalness,grammatical,0,1538,16703,1,0.875
mturk,mturk,mk_thought_corpus_questionnaire,Lexical: conceptual,Conceptual / semantic,thought,0,286,1197,1,0.285
mturk,mturk,neal_norming_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,704,12940,1,0.889
mturk,mturk,noisy_channel_acceptability_1_sept_2013_1,Syntax,Acceptability / naturalness,acceptab,0,496,9546,1,0.984
mturk,mturk,noisy_channel_acceptability_2_sept_2013,Syntax,Acceptability / naturalness,acceptab,0,380,23804,1,0.991
mturk,mturk,noisy_rc_norming_oct19,Syntax,Acceptability / naturalness,FALLBACK-default,1,128,1274,1,0.902
mturk,mturk,orange_camel_sentence_naturalness_survey_nov_2010,Syntax,Acceptability / naturalness,naturaln,0,144,2799,1,0.96
mturk,mturk,orc_lauren_sentence_naturalness_survey_july_2012,Syntax,Acceptability / naturalness,naturaln,0,192,8605,1,0.942
mturk,mturk,p_p_sentence_naturalness_survey_aug_2010,Syntax,Acceptability / naturalness,naturaln,0,252,19122,1,0.879
mturk,mturk,p_p_sentence_naturalness_survey_dec_2009,Syntax,Acceptability / naturalness,naturaln,0,252,10021,1,0.85
mturk,mturk,p_p_sentence_naturalness_survey_feb,Syntax,Acceptability / naturalness,naturaln,0,614,15402,1,0.671
mturk,mturk,p_p_sentence_naturalness_survey_jan_2010,Syntax,Acceptability / naturalness,naturaln,0,184,11817,1,0.921
mturk,mturk,p_p_sentence_naturalness_survey_june_2013_v3,Syntax,Acceptability / naturalness,naturaln,0,242,19678,1,0.921
mturk,mturk,p_p_sentence_naturalness_survey_may_2013,Syntax,Acceptability / naturalness,naturaln,0,252,13796,1,0.904
mturk,mturk,p_p_sentence_naturalness_survey_may_2013_v2,Syntax,Acceptability / naturalness,naturaln,0,252,13193,1,0.891
mturk,mturk,paris_judgments_2_dec_2012_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,256,1267,1,0.599
mturk,mturk,paris_judgments_3_dec_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,477,7714,1,0.851
mturk,mturk,paris_judgments_dec_2012_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,488,3818,1,0.751
mturk,mturk,pascal_1_dec_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,544,6086,1,0.018
mturk,mturk,presup_survey_1_acd_july_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,240,3660,1,0.804
mturk,mturk,presup_survey_2_acd_july_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,240,3532,1,0.687
mturk,mturk,presup_survey_3_acd_july_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,240,3591,1,0.475
mturk,mturk,pronouns_following_verbs,Syntax,Acceptability / naturalness,FALLBACK-default,1,44,3478,1,0.943
mturk,mturk,pronouns_following_verbs_an,Syntax,Acceptability / naturalness,FALLBACK-default,1,44,874,1,0.869
mturk,mturk,pronouns_following_verbs_an_2,Syntax,Acceptability / naturalness,FALLBACK-default,1,44,2637,1,0.899
mturk,mturk,pronouns_following_verbs_ce,Syntax,Acceptability / naturalness,FALLBACK-default,1,44,1748,1,0.915
mturk,mturk,pronouns_following_verbs_ce_2,Syntax,Acceptability / naturalness,FALLBACK-default,1,44,1756,1,0.803
mturk,mturk,pronouns_following_verbs_sm,Syntax,Acceptability / naturalness,FALLBACK-default,1,44,3470,1,0.937
mturk,mturk,pronouns_following_verbs_so,Syntax,Acceptability / naturalness,FALLBACK-default,1,44,879,1,0.758
mturk,mturk,pronouns_following_verbs_so_2,Syntax,Acceptability / naturalness,FALLBACK-default,1,44,2629,1,0.724
mturk,mturk,pronouns_following_verbs_ve,Syntax,Acceptability / naturalness,FALLBACK-default,1,45,3514,1,0.939
mturk,mturk,quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code,Syntax,Acceptability / naturalness,FALLBACK-default,1,184,5247,1,0.913
mturk,mturk,quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,Syntax,Acceptability / naturalness,FALLBACK-default,1,168,8563,1,0.97
mturk,mturk,quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,Syntax,Acceptability / naturalness,FALLBACK-default,1,126,11065,1,0.986
mturk,mturk,quantifier_naturalness_survey_june_4_2010,Syntax,Acceptability / naturalness,naturaln,0,192,7463,1,0.691
mturk,mturk,quantitative_syntax_survey,Syntax,Acceptability / naturalness,FALLBACK-default,1,121,3637,1,0.825
mturk,mturk,reasoning_and_language_tasks_survey_code_talkative_pigeon,Syntax,Acceptability / naturalness,FALLBACK-default,1,72,4289,1,0.906
mturk,mturk,richard_islands_acceptability_expt_1_april_25_2013_3,Syntax,Acceptability / naturalness,acceptab,0,144,2856,1,0.959
mturk,mturk,richard_islands_acceptability_expt_2_april_26_2013,Syntax,Acceptability / naturalness,acceptab,0,228,4731,1,0.956
mturk,mturk,richard_islands_acceptability_expt_4_april_26_2013_1,Syntax,Acceptability / naturalness,acceptab,0,100,2058,1,0.967
mturk,mturk,richard_islands_acceptability_expt_5_april_27_2013_1,Syntax,Acceptability / naturalness,acceptab,0,132,2060,1,0.86
mturk,mturk,richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,Syntax,Acceptability / naturalness,acceptab,0,100,7211,1,0.985
mturk,mturk,semantics1_finalproject,Lexical: conceptual,Conceptual / semantic,semantic,0,96,4783,1,0.991
mturk,mturk,semantics2_finalproject,Lexical: conceptual,Conceptual / semantic,semantic,0,96,9483,1,0.994
mturk,mturk,semantics3_final_project,Lexical: conceptual,Conceptual / semantic,semantic,0,96,9576,1,0.996
mturk,mturk,sentence_completions_and_islands_acceptability_expt_1_nov_13_2012,Syntax,Acceptability / naturalness,acceptab,0,112,13215,1,0.985
mturk,mturk,sentence_naturalness_isac_survey_feb_2011,Syntax,Acceptability / naturalness,naturaln,0,304,7641,1,0.82
mturk,mturk,sentence_naturalness_survey_acd_ratings_hackl_expt_5_oct_25_2012_1,Syntax,Acceptability / naturalness,naturaln,0,128,3295,1,0.75
mturk,mturk,sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1,Syntax,Acceptability / naturalness,naturaln,0,176,3319,1,0.791
mturk,mturk,sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20,Syntax,Acceptability / naturalness,naturaln,0,480,7152,1,0.85
mturk,mturk,sentence_naturalness_survey_acd_ratings_v2_jan_2012,Syntax,Acceptability / naturalness,naturaln,0,128,5577,1,0.795
mturk,mturk,sentence_naturalness_survey_acd_ratings_v4_july_13_2012,Syntax,Acceptability / naturalness,naturaln,0,176,3338,1,0.696
mturk,mturk,sentence_naturalness_survey_acd_v1_jan_2012,Syntax,Acceptability / naturalness,naturaln,0,128,6128,1,0.254
mturk,mturk,sentence_naturalness_survey_acd_v6_oct_25_2012,Syntax,Acceptability / naturalness,naturaln,0,128,6653,1,0.636
mturk,mturk,sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig,Syntax,Acceptability / naturalness,naturaln,0,200,31957,1,0.991
mturk,mturk,sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig,Syntax,Acceptability / naturalness,naturaln,0,224,31113,1,0.985
mturk,mturk,sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo,Syntax,Acceptability / naturalness,naturaln,0,120,4775,1,0.931
mturk,mturk,sentence_naturalness_survey_for_formal_link,Syntax,Acceptability / naturalness,naturaln,0,252,11826,1,0.834
mturk,mturk,sentence_naturalness_survey_for_gs_apr_4_2010,Syntax,Acceptability / naturalness,naturaln,0,132,5006,1,0.924
mturk,mturk,sentence_naturalness_survey_for_gs_dec_2009,Syntax,Acceptability / naturalness,naturaln,0,122,5294,1,0.878
mturk,mturk,sentence_naturalness_survey_for_gs_jan_2010,Syntax,Acceptability / naturalness,naturaln,0,133,5004,1,0.925
mturk,mturk,sentence_naturalness_survey_for_gs_jan_23_2010,Syntax,Acceptability / naturalness,naturaln,0,216,7543,1,0.911
mturk,mturk,sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,Syntax,Acceptability / naturalness,naturaln,0,48,2818,1,0.922
mturk,mturk,sentence_naturalness_survey_for_jk_april_4_2010,Syntax,Acceptability / naturalness,naturaln,0,96,3814,1,0.867
mturk,mturk,sentence_naturalness_survey_for_jk_april_4_expt_3_2010,Syntax,Acceptability / naturalness,naturaln,0,96,3963,1,0.897
mturk,mturk,sentence_naturalness_survey_for_jk_april_9_expt_4_2010,Syntax,Acceptability / naturalness,naturaln,0,96,3785,1,0.851
mturk,mturk,sentence_naturalness_survey_for_jk_june_24_2010_v2,Syntax,Acceptability / naturalness,naturaln,0,176,4064,1,0.767
mturk,mturk,sentence_naturalness_survey_for_jk_mar_2010,Syntax,Acceptability / naturalness,naturaln,0,96,3803,1,0.884
mturk,mturk,sentence_naturalness_survey_for_jkm_dec_2009,Syntax,Acceptability / naturalness,naturaln,0,128,4350,1,-0.028
mturk,mturk,sentence_naturalness_survey_for_jkm_jan_2012,Syntax,Acceptability / naturalness,naturaln,0,128,2225,1,0.15
mturk,mturk,sentence_naturalness_survey_for_lb_dec_2009,Syntax,Acceptability / naturalness,naturaln,0,108,6017,1,0.833
mturk,mturk,sentence_naturalness_survey_for_lb_feb_2010,Syntax,Acceptability / naturalness,naturaln,0,45,704,1,0.921
mturk,mturk,sentence_naturalness_survey_for_lb_feb_20_2010,Syntax,Acceptability / naturalness,naturaln,0,64,1911,1,0.906
mturk,mturk,sentence_naturalness_survey_for_lb_feb_20_2010_v2,Syntax,Acceptability / naturalness,naturaln,0,77,2809,1,0.932
mturk,mturk,sentence_naturalness_survey_for_lb_jan_2011,Syntax,Acceptability / naturalness,naturaln,0,519,11504,1,0.903
mturk,mturk,sentence_naturalness_survey_for_lb_jan_2011_v2,Syntax,Acceptability / naturalness,naturaln,0,519,11822,1,0.787
mturk,mturk,sentence_naturalness_survey_for_lb_jan_2011_v3,Syntax,Acceptability / naturalness,naturaln,0,519,11655,1,0.885
mturk,mturk,sentence_naturalness_survey_for_lb_mar_2010,Syntax,Acceptability / naturalness,naturaln,0,123,8785,1,0.934
mturk,mturk,sentence_naturalness_survey_for_lb_mar_2010_2,Syntax,Acceptability / naturalness,naturaln,0,241,8799,1,0.934
mturk,mturk,sentence_naturalness_survey_for_lb_may_2010,Syntax,Acceptability / naturalness,naturaln,0,148,6823,1,0.97
mturk,mturk,sentence_naturalness_survey_for_lb_prelim_oct_2010,Syntax,Acceptability / naturalness,naturaln,0,402,1369,1,0.876
mturk,mturk,sentence_naturalness_survey_for_lb_v2_oct_2010,Syntax,Acceptability / naturalness,naturaln,0,402,6564,1,0.847
mturk,mturk,sentence_naturalness_survey_for_marie_expt3_july_2012,Syntax,Acceptability / naturalness,naturaln,0,32,5098,1,0.654
mturk,mturk,sentence_naturalness_survey_for_marie_expt3b_july_20_2012,Syntax,Acceptability / naturalness,naturaln,0,57,8916,1,0.828
mturk,mturk,sentence_naturalness_survey_for_rw_dec_2009,Syntax,Acceptability / naturalness,naturaln,0,180,7164,1,0.823
mturk,mturk,sentence_naturalness_survey_for_rw_jan_2010,Syntax,Acceptability / naturalness,naturaln,0,480,21443,1,0.887
mturk,mturk,sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater,Syntax,Acceptability / naturalness,naturaln,0,368,5462,1,0.891
mturk,mturk,sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater,Syntax,Acceptability / naturalness,naturaln,0,384,5647,1,0.902
mturk,mturk,sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo,Syntax,Acceptability / naturalness,naturaln,0,232,2556,1,0.733
mturk,mturk,sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,Syntax,Acceptability / naturalness,naturaln,0,84,1434,1,0.88
mturk,mturk,sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,Syntax,Acceptability / naturalness,naturaln,0,270,14329,1,0.955
mturk,mturk,short_acceptability_feb_6_2014,Syntax,Acceptability / naturalness,acceptab,0,128,2904,1,0.918
mturk,mturk,social_interaction_and_language_tasks_survey_code_talkative_pigeon,Lexical: conceptual,Social,social interaction,0,72,4301,1,0.925
mturk,mturk,verb_causality_study_semantics_ratings_mk_april_2010,Sentence semantics,Plausibility / coherence / discourse,causal,0,188,8678,1,0.969
mturk,mturk,verb_causality_study_syntax_ratings_mk_april_2010,Sentence semantics,Plausibility / coherence / discourse,causal,0,124,2474,1,0.864
mturk,mturk,verb_particle_ratings,Syntax,Acceptability / naturalness,FALLBACK-default,1,136,512,1,0.731
mturk,mturk,wm2_wm5_9_59_sentence_naturalness_survey_april_2011,Syntax,Acceptability / naturalness,naturaln,0,219,3348,1,0.865
mturk,mturk,word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,Syntax,Acceptability / naturalness,naturaln,0,158,7958,1,0.971
mturk,mturk,word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,Syntax,Acceptability / naturalness,naturaln,0,45,2239,1,0.951
mturk,mturk,word_length_context_sentence_naturalness_survey_april_2011,Syntax,Acceptability / naturalness,naturaln,0,86,4774,1,0.839
