"file","domain","language","preamble_chars","task_sentences","procedural_sentences","task_content_types","adds_content_beyond_current_instruction","notes"
"discourse_imagability_pairs_list1","sentence_semantics","english","597","We would like you to rate each pair of sentences according to how easy the content is to visualize (to form an image of what the sentences describe in your mind's eye) on a scale from 1 (very hard to visualize) to 7 (very easy to visualize). || For example, a pair like The cup is filled with fresh black coffee. Steam emanates from it. has a meaning that easily brings to mind an image, so you might rate it as a 6 or a 7. || In contrast, a pair like I did not get the gist of the idea. The description was too complicated. may not, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high/low imagability sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_imagability_pairs_list2","sentence_semantics","english","597","We would like you to rate each pair of sentences according to how easy the content is to visualize (to form an image of what the sentences describe in your mind's eye) on a scale from 1 (very hard to visualize) to 7 (very easy to visualize). || For example, a pair like The cup is filled with fresh black coffee. Steam emanates from it. has a meaning that easily brings to mind an image, so you might rate it as a 6 or a 7. || In contrast, a pair like I did not get the gist of the idea. The description was too complicated. may not, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high/low imagability sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_mentalizing_pairs_list1","sentence_semantics","english","672","We would like you to rate each pair of sentences according to how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions on a scale from 1 (not at all) to 7 (very much). || For example, a pair like Steve called Jenny to tell her how much he valued their friendship. Jenny smiled warmly upon hearing these kind words. has a meaning that is related to other people's states of mind and emotions so you might rate it as a 6 or a 7. || In contrast, a pair like The ball quickly rolled down the steep hill. The block tower collapsed when the ball made contact. does not, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high/low mentalizing sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_mentalizing_pairs_list2","sentence_semantics","english","672","We would like you to rate each pair of sentences according to how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions on a scale from 1 (not at all) to 7 (very much). || For example, a pair like Steve called Jenny to tell her how much he valued their friendship. Jenny smiled warmly upon hearing these kind words. has a meaning that is related to other people's states of mind and emotions so you might rate it as a 6 or a 7. || In contrast, a pair like The ball quickly rolled down the steep hill. The block tower collapsed when the ball made contact. does not, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high/low mentalizing sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_physics_pairs_list1","sentence_semantics","english","634","We would like you to rate each pair of sentences according to how much it made you think of physical objects and/or physical interactions on a scale from 1 (not at all) to 7 (very much). || For example, a pair like Sam knocked the glass off of the table. The glass shattered on the hardwood floor. has a meaning that is related to physical objects and/or physical interactions, so you might rate it as a 6 or a 7. || In contrast, a pair like Steve called Jenny to tell her how much he valued their friendship. Jenny smiled warmly upon hearing these kind words. does not, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high/low physical-content sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_physics_pairs_list2","sentence_semantics","english","634","We would like you to rate each pair of sentences according to how much it made you think of physical objects and/or physical interactions on a scale from 1 (not at all) to 7 (very much). || For example, a pair like Sam knocked the glass off of the table. The glass shattered on the hardwood floor. has a meaning that is related to physical objects and/or physical interactions, so you might rate it as a 6 or a 7. || In contrast, a pair like Steve called Jenny to tell her how much he valued their friendship. Jenny smiled warmly upon hearing these kind words. does not, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high/low physical-content sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_scenes_pairs_list1","sentence_semantics","english","574","We would like you to rate each pair of sentences according to how much it made you think of places, natural scenes and/or environments on a scale from 1 (not at all) to 7 (very much). || For example, a pair like There are several tall trees in the backyard. They are interspersed with short bushes. has a meaning that is related to places, natural scenes and/or environments, so you might rate it as a 6 or a 7. || In contrast, a pair like You are very attentive and curious. I admire that about you. does not, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high/low scene-content sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_scenes_pairs_list2","sentence_semantics","english","574","We would like you to rate each pair of sentences according to how much it made you think of places, natural scenes and/or environments on a scale from 1 (not at all) to 7 (very much). || For example, a pair like There are several tall trees in the backyard. They are interspersed with short bushes. has a meaning that is related to places, natural scenes and/or environments, so you might rate it as a 6 or a 7. || In contrast, a pair like You are very attentive and curious. I admire that about you. does not, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high/low scene-content sentence pairs) with example ratings are not present in the current per-item instruction at all."
"missing_vp_extension_0501_final","sentence_semantics","english","664","In this study you will be reading complex sentences and rating how understandable they are. || If there are two sentences, you should only rate the second one. || When rating, please read the sentence(s) once and then rate on the basis of your first impression. || You will have to rate the sentences based on how understandable they are on a scale from 1 to 5, where 1 is hard to understand and 5 is easy to understand.","For each question, you will read either one or two sentences. || Please rate the sentences to the best of your ability. || We care about the ratings of these sentences, and we will reject participants that do not rate sentences accurately.","dimension_definition;judgment_guidance;scale_anchoring;target_identification","yes","Target identification ('rate only the second one') and scale (1=hard,5=easy) are restated in the current instruction; judgment guidance ('read once', first impression) is new. Note the scale direction here (1=hard/5=easy) is the REVERSE of the sibling missing_vp_extension/missing_vp_rereplication surveys (group 13: 1=easy/5=hard) despite measuring the same 'understandability' construct."
"russian_freezing","syntax","russian","98","","Пожалуйста, прочитайте каждое предложение, а затем ответьте на вопрос, который под ним.","","no",""
"chinese_dative","syntax","mandarin","102","然后，评价该加粗句在该语境中的自然程度，并回答紧随其后的问题。","在本研究中，您将看到一些语境句，后面跟着一个加粗的句子。 || 请将每个语境与其后的加粗句一起阅读。 || 请注意，我们希望您在评分时尽可能准确。","dimension_definition;target_identification","no","S1 introduces the 'bolded sentence' stimulus format; S3 (target + naturalness dimension) is already fully restated in the current instruction, which itself names the bolded target sentence."
"dative_finnish","syntax","finnish","124","Lue kukin lausepari ja arvioi sitten, kuinka luonnolliselta jälkimmäinen (lihavoitu) lause kuulostaa asiayhteydessä.","","dimension_definition;target_identification","no","Explicitly states the target sentence is marked in bold ('(lihavoitu)') in the stimulus; current instruction identifies the same target only by position ('viimeinen lause'/'last sentence'), dropping the bold-marking cue."
"dative_turkish","syntax","turkish","108","Lütfen cümle çiftlerini okuyun ve ikinci (hedef) cümlenin ne kadar doğal olduğunu değerlendirin.","","dimension_definition;target_identification","no","Target (second/hedef sentence) and naturalness dimension are already fully restated in the current instruction."
"rating_english_sentences","syntax","english","210","Please carefully read each sentence, then rate them on scale from 1 (= completely unacceptable) to 7 (= completely acceptable).","It will take approximately 35 minutes to complete all 160 sentences.","dimension_definition;scale_anchoring","no",""
"locative_topicalization_survey","syntax","english","541","When rating, please read the sentences once and then rate them on the basis of your first impression. || You will have to rate each sentence based on how natural it sounds on a scale from 1 to 5, where 1 is very unnatural and 5 is very natural.","Please read each pair of sentences and then complete the rating task immediately following. || Please rate the sentences to the best of your ability. || We care about the ratings of these sentences, so please do not complete this survey if you feel you cannot complpete this task accurately.","dimension_definition;judgment_guidance;scale_anchoring","yes","Judgment guidance ('read once', rate on first impression) is absent from the current instruction; dimension+scale are restated."
"dative_alternation_extension_version_2","syntax","english","119","","Please read each one sentence description of an event and then answer the question immediately following.","","no",""
"acceptability_extension_959_v5","syntax","english","100","","Please read each pair of sentences and then answer the question immediately following.","","no",""
"montemayor_replication_acceptability_in_syntax","syntax","english","180","","Please read each sentence and then answer the question immediately following. || When you are ready, please click BEGIN and scroll down to view and answer the questions.","","no",""
"extension_study","syntax","english","348","Please read each sentence and rate how natural you think it seems on a scale of 1 to 7, with 1 being very unnatural and 7 being very natural. || Naturalness means how normal or typical the sentence sounds, or how likely it would be for you to phrase the sentence the same way. || There are no right answers here, we just want your opinions.","","dimension_definition;judgment_guidance;scale_anchoring","yes","Contains an explicit definition of 'naturalness' ('how normal or typical the sentence sounds, or how likely it would be for you to phrase the sentence the same way') and judgment guidance ('There are no right answers here, we just want your opinions') -- both entirely absent from the terse current per-item instruction, which only gives the numeric scale."
"discourse_changed_0428","sentence_semantics","english","429","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 48 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","Same 'connected vs randomly paired' framing as group 5/12, but with 48 (not 100) pairs; practice-trial mention."
