dataset,domain,status,type,severity,verified,verify_note,fixable_from_raw,description,evidence,proposed_fix,missing_info
sentence_naturalness_survey_for_jkm_jan_2012,mturk,issues,unit_missing_context,high,True,,yes,"Converted unit is only the target sentence (trial_2_{i}); the preceding dialogue context (trial_1_{i}, HTML-separated Mary/John turns, comprehension-tested by question_1/2_{i}) is dropped. 125/128 match trial_2 exactly (3 remaining differ only by whitespace, still trial_2-only); 0/128 match trial_1 or the concatenation. Mirror image of the gs_may_11_2011 bug.","Converted unit 1 = ""Mary: It isn't. Rhode Island is a coastal state..."" with no antecedent for 'It' in prompt; raw trial_1_1 = ""Mary: ...temperatures in Maine... John: I heard this is so even in Rhode Island. Do you know why...?"" supplies it and was shown to the rater.","Re-extract unit as Input.trial_1_{i} + ' ' + Input.trial_2_{i} (converting '<br/>' to a space), matching jkm_dec_2009's approach. Then change instruction noun 'sentence'->'passage':
How natural does the passage sound?
Rate on a scale from 1 to 5. (scale inferred from observed responses)
Answer with one number.

<<{sentence}>>",
sentence_naturalness_survey_for_jkm_jan_2012,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_lb_dec_2009,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_lb_feb_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_lb_feb_20_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_lb_feb_20_2010_v2,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_feb_20_2010_v2_i.txt line 2,,
sentence_naturalness_survey_for_lb_feb_20_2010_v2,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,"Raw Title/Description ('English-language survey: 48 questions & ratings; Code = Proud Mouse' / '48 short texts followed by a question and a rating') never state the word 'natural' or name any dimension; label comes only from folder name and the 1-5 Likert pattern, since original HIT HTML is not in the export.",Title: 'English-language survey: 48 questions & ratings; Code = Proud Mouse',,original HIT question/scale HTML template needed to confirm exact rating-question wording
sentence_naturalness_survey_for_lb_jan_2011,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_jan_2011_i.txt line 2,,
sentence_naturalness_survey_for_lb_jan_2011,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,"Raw Title/Description ('120 short texts followed by a rating and two questions. CODENAME: BANANA CURRY') never state a rating dimension. Unit is a <br/>-joined 2-sentence item, correctly de-HTML'd; scale 1-5 verified exact vs raw Answer.Rating (n=11504).","raw trial_1: ""I think it's likely...<br/>Today she got to jump on a trampoline..."" -> converted unit matches with <br/> stripped",,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_lb_jan_2011_v2,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_jan_2011_v2_i.txt line 2,,
sentence_naturalness_survey_for_lb_jan_2011_v2,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,Same HIT design/codename ('BANANA CURRY') and same caveat as lb_jan_2011; scale 1-5 verified exact (n=11822).,Title: '120 short texts followed by a rating and two questions. CODENAME: BANANA CURRY',,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_lb_jan_2011_v3,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_jan_2011_v3_i.txt line 2,,
sentence_naturalness_survey_for_lb_jan_2011_v3,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,Same HIT design/codename ('BANANA CURRY') as jan_2011/jan_2011_v2; scale 1-5 verified exact (n=11655).,Title: '120 short texts followed by a rating and two questions. CODENAME: BANANA CURRY',,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_lb_mar_2010,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_mar_2010_i.txt line 2,,
sentence_naturalness_survey_for_lb_mar_2010,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,Raw Title/Description ('Orange-elephant code name' HIT) never state a dimension. Unit construction (context{i}+' '+sent{i}) and Answer.Rating values spot-checked exactly against converted CSV across all 12 batch files for one item; matched perfectly.,raw context76/sent76 in 2010-03-14_Batch_208048.csv reproduces converted unit text; raw ratings consistent with converted mean 4.1466,,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_lb_mar_2010_2,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_mar_2010_2_i.txt line 2,,
sentence_naturalness_survey_for_lb_mar_2010_2,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,"Companion '#2' batch to lb_mar_2010, same 'Orange-elephant' HIT codename/design; scale 1-5 verified exact (n=8799).",Description: '75 short texts followed by a rating and two questions: Orange-elephant code name',,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_lb_may_2010,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_may_2010_i.txt line 2,,
sentence_naturalness_survey_for_lb_may_2010,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,Same 'Orange-elephant' HIT family; scale 1-5 verified exact (n=6823).,Description: '84 short texts followed by a rating and two questions: Orange-elephant code name',,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_lb_prelim_oct_2010,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_prelim_oct_2010_i.txt line 2,,
sentence_naturalness_survey_for_lb_prelim_oct_2010,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,"Small pilot batch ('Purple-hyena'), same item pool as lb_v2_oct_2010; scale 1-5 verified exact (n=1369). a_index.csv already flags 'caveat: thin (median n/unit<5)' -- confirmed accurate, not a new issue.",Title: '116 short texts followed by a rating and two questions. CODENAME: Purple-hyena',,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_lb_v2_oct_2010,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_lb_v2_oct_2010_i.txt line 2,,
sentence_naturalness_survey_for_lb_v2_oct_2010,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,Fuller-powered run of the same 402-item 'Purple-hyena' pilot as lb_prelim_oct_2010; scale 1-5 verified exact (n=6564).,Title: '116 short texts followed by a rating and two questions. CODENAME: Purple-hyena',,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_rw_dec_2009,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_rw_dec_2009_i.txt line 2,,
sentence_naturalness_survey_for_rw_dec_2009,mturk,ok,dimension_inferred_from_folder_name_only,low,,,no,Raw Title/Description ('Brief English-language survey' / '90 short texts followed by a question and a rating') never state a dimension. Unit construction (short VP-ellipsis discourse pairs) is clean; scale 1-5 verified exact (n=7164).,Description: '90 short texts followed by a question and a rating',,original HIT question/scale HTML template needed
sentence_naturalness_survey_for_marie_expt3_july_2012,mturk,issues,audio_filename_as_unit,high,True,,no,"Converted 'unit' column contains raw audio filenames (Input.trial_audio_{i}), not text. All 32 units end in '.aiff'. Raw structure shows this was a spoken-language perception task: Ss heard an audio reading of a passage under a prosodic condition (AA/AB/BA/AbA/AbAb codes) and rated how natural the reading sounded. An LLM given only the filename has no access to passage text, audio, or condition.","unit sample: ['jonah_lasagna_AbAb.aiff','jonah_annakarenina_AbAb.aiff', ...] (32/32 end .aiff); raw: Input.trial_1='Steve is a college student...', Input.trial_audio_1='jonah_annakarenina_AAb.aiff', Answer.Rating1=3.0",,"original audio recordings, or a redesign decision to use Input.trial_{i} text instead (rates a different construct), needed from collaborators"
sentence_naturalness_survey_for_marie_expt3_july_2012,mturk,issues,unit_noun_mismatch,high,True,,partial,"Instruction asks 'How natural does the word sound?' but stimulus is a recording of a multi-sentence passage, not a word. Raw Title/Description never state 'word' or any dimension noun, so it appears to be an unsubstantiated default rather than grounded in raw metadata.",instruction: 'How natural does the word sound?'; raw Input.trial_1 is multi-sentence; raw Title just says '64 short texts followed by two questions and a rating',,exact original rating-question wording not recoverable (HTML template absent)
sentence_naturalness_survey_for_marie_expt3_july_2012,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_marie_expt3_july_2012_i.txt line 2,,
sentence_naturalness_survey_for_marie_expt3b_july_20_2012,mturk,issues,audio_filename_as_unit,high,True,,no,"Identical defect to marie_expt3_july_2012 (same 'BLUE-STRAWBERRY' HIT design, expanded item set). All 57 distinct converted units are audio filenames ending in '.aiff', not text an LLM can rate.","unit sample: ['jonah_lasagna_AbAb.aiff','jonah_annakarenina_AB.aiff','jonah_dating_BA.aiff', ...]",,same as marie_expt3_july_2012: original audio recordings or a redesign decision needed
sentence_naturalness_survey_for_marie_expt3b_july_20_2012,mturk,issues,unit_noun_mismatch,high,True,,partial,"Instruction says 'How natural does the word sound?' though stimulus is a recording of a multi-sentence passage, not a word; raw Title/Description never state 'word' or any dimension.",instruction: 'How natural does the word sound?'; raw Title: '112 short texts followed by two questions and a rating. CODENAME: BLUE-STRAWBERRY',,exact original rating-question wording not recoverable (HTML template absent)
sentence_naturalness_survey_for_marie_expt3b_july_20_2012,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/sentence_naturalness_survey_for_marie_expt3b_july_20_2012_i.txt line 2,,
sentence_naturalness_survey_for_rw_jan_2010,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue: literal text '(scale inferred from observed responses)' present in the instruction.,Instruction line 2: 'Rate on a scale from 1 to 5. (scale inferred from observed responses)',,
sentence_naturalness_survey_for_rw_jan_2010,mturk,issues,dimension_source_uncertain,low,,,partial,"Raw batch Title/Description ('90 short texts followed by a question and a rating: survey code = Green Turkey') never literally names 'naturalness'; the instruction's 'How natural does the passage sound?' is grounded only in the folder-naming convention shared by ~80 similarly-named 'Sentence naturalness survey ...' folders, not directly confirmed by this batch's own Title/Description text.",Title='90 short texts followed by a question and a rating: survey code = Green Turkey'; Description='90 short texts followed by a question and a rating',,Original HIT question/instruction HTML (not in export) would be needed to literally confirm the wording shown to workers.
sentence_naturalness_survey_for_rw_jan_2010,mturk,issues,rating_count_mismatch_raw_vs_converted,medium,,,no,"For a spot-checked item, raw Answer.Rating responses (n=40, values incl. two 1's, range 1-5) exceed the converted individual_ratings (n=20, range 2-5, no 1's) by roughly 2x, with no duplicate WorkerId/AssignmentId or failed-comprehension-check explanation found. Converted n per item ranges 18-160 in this dataset, so the scope of the discrepancy across all 480 units is unverified.","Unit 'Adam adopted a cat...Later that week Regina did it too.': raw (Input.sent72 match across 4 batch files) sorted ratings=[1,1,2,2,2,2,2,3,3,3,3,3,4x20,5x8] n=40; converted individual_ratings=[5,4,3,2,2,4,4,3,4,4,4,4,3,3,4,4,4,4,4,5] n=20, min=2 not min=1. All 40 raw rows had Answer.YNQ72='Yes' and 40 distinct WorkerIds.",,"The conversion/deduplication script or its documentation, explaining which subset of the folder's 24 raw batch files was kept per item and why."
sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 7. (scale inferred from observed responses)',,
sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater,mturk,issues,dimension_source_uncertain,low,,,partial,Raw Title/Description ('92 sentences followed by a question and a rating: survey code = LAZY CATERPILLAR') never say 'naturalness'; dimension comes only from folder-name convention.,Title=Description='92 sentences followed by a question and a rating: survey code = LAZY CATERPILLAR',,Original HIT question/instruction HTML not in export.
sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 7. (scale inferred from observed responses)',,
sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater,mturk,issues,dimension_source_uncertain,low,,,partial,Raw Title/Description ('96 sentences followed by a question and a rating: survey code = LAZY CATERPILLAR') never say 'naturalness'; dimension comes only from folder-name convention.,Title=Description='96 sentences followed by a question and a rating: survey code = LAZY CATERPILLAR',,Original HIT question/instruction HTML not in export.
sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 7. (scale inferred from observed responses)',,
sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo,mturk,issues,dimension_source_uncertain,low,,,partial,Raw Title/Description ('64 sentences followed by a question and a rating: survey code = SHY-ARMADILLO') never say 'naturalness'; dimension comes only from folder-name convention.,Title=Description='64 sentences followed by a question and a rating: survey code = SHY-ARMADILLO',,Original HIT question/instruction HTML not in export.
sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 7. (scale inferred from observed responses)',,
sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,mturk,issues,dimension_source_uncertain,low,,,partial,Raw Title/Description ('36 sentences followed by a question and a rating: survey code = ANXIOUS-BAT') never say 'naturalness'; dimension comes only from folder-name convention.,Title=Description='36 sentences followed by a question and a rating: survey code = ANXIOUS-BAT',,Original HIT question/instruction HTML not in export.
sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 7. (scale inferred from observed responses)',,
sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,mturk,issues,dimension_source_uncertain,low,,,partial,"Raw Title/Description say '110 sentences followed by two questions and a rating', never 'naturalness'; dimension is only from the folder-name convention.",Title='110 sentences followed by two questions and a rating: survey code = Downtown',,Original HIT question/instruction HTML not in export.
sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,mturk,issues,title_item_count_vs_converted_n,low,,,yes,"Title states '110 sentences' but converted dataset has 270 unique units. Verified this is explained by a multi-list/counterbalanced design (108 Input.trial_ slot-columns per file, but different sentence content per Input.list value), not an error; worth documenting for provenance.","2 batch files, each with 108 Input.trial_N slot columns whose actual sentence content differs by Input.list; converted CSV has 270 unique 'unit' values.",,
short_acceptability_feb_6_2014,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 5. (scale inferred from observed responses)',,
short_acceptability_feb_6_2014,mturk,issues,dimension_source_uncertain,low,,,partial,Raw Title/Description ('Ratings and comprehension questions for 56 sentences. CODENAME: EXCITED SANDPIPER') never say 'acceptability'; dimension comes only from folder-name convention. Instruction wording is plausible given the particle-verb-shift materials but not directly confirmable from raw text.,Title=Description='Ratings and comprehension questions for 56 sentences. CODENAME: EXCITED SANDPIPER',,Original HIT question/instruction HTML not in export.
social_interaction_and_language_tasks_survey_code_talkative_pigeon,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 7. (scale inferred from observed responses)',,
social_interaction_and_language_tasks_survey_code_talkative_pigeon,mturk,issues,multi_task_source_survey,low,,,yes,"Raw folder is a large multi-task battery (Eyes test, video social-cognition task, personality/demographics, reading passages, plus a separate HTML 'that'-complementizer forced-choice task), not a pure sentence-rating survey. Verified converted CSV correctly isolates only plain rc_trial sentences with Answer.RatingN, excluding other sub-tasks; worth a README provenance note.","Raw Answer.* families include eyesq_*, video_q_*, that-*/that-ynq-*, Personality, winter_guest/perfect_strangers etc.; converted unit values checked are all plain rc_trial sentences, no HTML.",,
verb_causality_study_semantics_ratings_mk_april_2010,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 5. (scale inferred from observed responses)',,
verb_causality_study_semantics_ratings_mk_april_2010,mturk,issues,dimension_source_uncertain,low,,,partial,"Raw Title/Description never say 'causality'; dimension comes only from the folder name. Note: instruction correctly calls unit 'the word' (matching true word-level unit type) even though the internal template placeholder is generically named {sentence} -- visible text is correct, so NOT a wrong_placeholder case.",Title='Brief English-language survey: Apatosaurus-convention code name'; Description='60 scenarios followed by a two rating questions: Apatosaurus-convention code name',,Original HIT question/instruction HTML not in export.
verb_causality_study_semantics_ratings_mk_april_2010,mturk,issues,rating_count_mismatch_raw_vs_converted,medium,,,no,"For a spot-checked word, raw Answer.Rating responses (n=80, 78 distinct WorkerIds, no duplicate AssignmentIds) exceed the converted individual_ratings (n=60) by exactly 20; both share range 1-5 so this is a count/subsample issue not range clipping, with small effect on the mean (raw 3.5125 vs converted 3.5333).","Unit 'abating': raw sorted ratings=[1x4,2x7,3x20,4x15,5x18] n=80 across 8 of 17 batch files, 78 unique WorkerIds; converted individual_ratings n=60, mean=3.5333 vs raw mean=3.5125.",,Conversion/deduplication pipeline logic or documentation explaining the ~25% response drop per item.
verb_causality_study_syntax_ratings_mk_april_2010,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 5. (scale inferred from observed responses)',,
verb_causality_study_syntax_ratings_mk_april_2010,mturk,issues,dimension_source_uncertain,low,,,partial,"Raw Title/Description never say 'causality'; dimension comes only from the folder name. Unit type is correctly a sentence (matches instruction noun 'the sentence'); materials use nonce verbs/objects (e.g. 'He's arriving the mot.'), consistent with a syntax-only causality paradigm.",Title='Brief English-language survey: Apatosaurus-convention code name'; Description='60 short sentences followed by a rating and two questions: Apatosaurus-convention code name',,Original HIT question/instruction HTML not in export.
verb_particle_ratings,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 5. (scale inferred from observed responses)',,
verb_particle_ratings,mturk,issues,wrong_or_generic_dimension,high,True,,yes,"Current instruction is the generic 'Rate the sentence.' even though the raw Description explicitly and unambiguously names the dimension being rated ('how good they sound'), essentially identical in kind to the 'How natural does the sentence sound?' wording already used for every other naturalness-style dataset in this same mturk_norms batch.",Raw Description: 'Rate English sentences for how good they sound. Please only complete ONE of these HITs. codename: Bob the Badger'. Current instruction line 1: 'Rate the sentence.',"How natural does the sentence sound?
Rate on a scale from 1 to 5. (scale inferred from observed responses)
Answer with one number.

<<{sentence}>>",
wm2_wm5_9_59_sentence_naturalness_survey_april_2011,mturk,issues,prompt_meta_leak,low,,,yes,Known global issue.,'Rate on a scale from 1 to 5. (scale inferred from observed responses)',,
wm2_wm5_9_59_sentence_naturalness_survey_april_2011,mturk,issues,dimension_source_uncertain,low,,,partial,"Raw Title/Description never say 'naturalness'; dimension comes only from folder-name convention. Full spot check on one item found raw and converted individual_ratings match exactly (n=48, identical multiset), so no data-loss found here (unlike RW-Jan-2010 and verb-causality-semantics).","Title=Description='70 sentences followed by a question and a rating: survey code = Pretty Bunny'; unit 'Harvard University recently purchased...': raw n=48 sorted=[1,2,3,4x7,5x39] matches converted n=48 exactly.",,Original HIT question/instruction HTML not in export.
word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal meta text '(scale inferred from observed responses)' (known global issue).,Instructions file line 2.,,
word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,mturk,issues,wrong_placeholder,high,True,,yes,"Units are single pseudoword tokens (verified: all 45 converted units exactly match raw Input.trial_1..trial_45 values, e.g. bek, bewk, bown, bowt, smer), but the instruction template uses {sentence} instead of {word}.","Converted unit examples 'bek','bewk','bown'; raw Input.trial_1='bown', Input.trial_2='telk'; instruction body '<<{sentence}>>'.","How natural does the word sound?
Rate on a scale from 1 to 7. (scale inferred from observed responses)
Answer with one number.

<<{word}>>",
word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,mturk,issues,nonword_status_not_disclosed,low,,,partial,"Raw Title explicitly says 'non-words'; instruction just says 'word' without indicating stimuli are pseudowords. Minor/common convention, not a clear violation.",Raw Title: 'ratings of 45 non-words: survey code = NOSY-BADGER'.,,Original HIT HTML to confirm whether live instructions disclosed nonword status.
word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal meta text '(scale inferred from observed responses)' (known global issue).,Instructions file line 2.,,
word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,mturk,issues,wrong_placeholder,high,True,,yes,"Units are single pseudoword tokens (verified: all 158 converted units exactly match raw trial values, e.g. bdag, bdeech, bdest, bwest), but instruction uses {sentence} instead of {word}.","Converted unit examples 'bdag','bdeech','bdest'; same two-part trial design as NOSY-BADGER confirms word-level stimuli; instruction body '<<{sentence}>>'.","How natural does the word sound?
Rate on a scale from 1 to 7. (scale inferred from observed responses)
Answer with one number.

<<{word}>>",
word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,mturk,issues,title_item_count_mismatch,low,,,no,"Source folder/Title say '160 items' but only 158 unique stimuli appear in the raw batch (converted csv correctly has n_units=158). Not a conversion bug, just a naming discrepancy.","Set of unique Input.trial_1..trial_160 values across all 50 raw rows has cardinality 158, not 160.",,Original 160-item design/list-assignment file to explain the 2-item gap.
word_length_context_sentence_naturalness_survey_april_2011,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal meta text '(scale inferred from observed responses)' (known global issue).,Instructions file line 2.,,
word_length_context_sentence_naturalness_survey_april_2011,mturk,issues,unit_truncation,high,,"Truncation confirmed. But fix inadequate: 45/86 stems have 2 distinct completions across workers (fridge/refrigerator etc, the word-length manip). Converted n/ratings pool both per stem already, so concatenation is undefined; 'need not change' claim is false.",yes,"Every one of the 86 converted units is a sentence fragment missing its final word. Raw export splits each trial into Input.trial_1_N (stem) and Input.trial_2_N (final word); the single Answer.RatingN naturalness rating plausibly applies to the complete sentence, not the truncated stem. Units as stored are ungrammatical fragments, changing the rating task if fed to an LLM as-is.","100% (86/86) of converted units equal raw Input.trial_1_N exactly, zero mismatches. Example stem->completion from Input.trial_2_N: 'After losing, John went'->'home'; ""...couldn't kill the""->'spider'; 'John climbed up the rickety'->'stairs'. Raw Answer.Rating* range 1.0-5.0 matches converted ratings/instruction scale.","Data-level fix (not instruction wording): reconstruct each unit as Input.trial_1_N + ' ' + Input.trial_2_N + '.' from raw batch csvs (2011-04-30_Batch_508061.csv, 2011-04-30_Batch_508064.csv), e.g. 'After losing, John went home.' not 'After losing, John went'. Instruction text itself needs no change; individual_ratings/mean/std/n need not change since Answer.RatingN presumably already rated the full sentence.",
base_acceptability_0908,surveyor/syntax,issues,filler_items_included,high,True,,yes,"All 40 filler/attention-check sentences (stimuli.csv experiment='Filler') were pooled into the converted norm alongside the 30 genuine canonical/noncanonical critical items, with no way to distinguish them post hoc; fillers make up 40 of 70 (57%) of the released CSV.","stim['experiment'].value_counts() = {Filler:40, Noncanonical_In:6, Noncanonical_With:6, Canonical_In:6, Canonical_With:6, Noncanonical_About:3, Canonical_About:3}; set(filler sentences) & set(converted units) has length 40 (full leak); converted CSV row count = 70 = 30+40.","Rebuild the norm from stimuli.csv/data.csv keeping only rows where experiment != 'Filler' (i.e. experiment in {Noncanonical_With, Noncanonical_About, Noncanonical_In, Canonical_With, Canonical_About, Canonical_In}), joined to data.csv on (experiment,item,cond).",
base_acceptability_0911,surveyor/syntax,issues,filler_items_included,high,True,,yes,Same pattern as base_acceptability_0908: all 40 filler sentences (experiment='Filler') leaked into the converted CSV alongside 30 critical items (57% filler of the released 70 rows).,stim['experiment'].value_counts() shows Filler=40 vs 30 critical rows across 6 canonical/noncanonical conditions; filler-sentence/converted-unit set intersection = 40 (full leak); converted row count 70 = 30+40.,"Rebuild from stimuli.csv/data.csv keeping only rows where experiment != 'Filler', joined to data.csv on (experiment,item,cond).",
can_noncan_acceptability_0924,surveyor/syntax,issues,filler_items_included,high,True,,yes,All 40 filler sentences (experiment='Filler') from stimuli.csv leaked into the converted norm alongside the 48 canonical/noncanonical critical items (45% of the released 88 rows are filler).,"stim['experiment'].value_counts() = {Filler:40, noncanonical:24, canonical:24}; filler-sentence/converted-unit intersection = 40/40; converted row count 88 = 48+40.","Rebuild keeping only stimuli.csv rows where experiment in {canonical, noncanonical} (drop experiment=='Filler'), joined to data.csv on (experiment,item,cond).",
can_noncan_acceptability_2,surveyor/syntax,issues,filler_items_included,high,True,,yes,Same filler-leak pattern as can_noncan_acceptability_0924: all 40 filler sentences included alongside the 48 canonical/noncanonical critical items (45% filler of 88 released rows).,"stim['experiment'].value_counts() = {Filler:40, noncanonical:24, canonical:24}; filler-sentence/converted-unit intersection = 40/40; converted row count 88 = 48+40.","Rebuild keeping only stimuli.csv rows where experiment in {canonical, noncanonical}, joined to data.csv on (experiment,item,cond).",
class_demo,surveyor/syntax,issues,filler_items_included,high,True,,yes,All 12 filler sentences (experiment='filler') leaked into the converted norm alongside the 32 genuine critical items (27% of the released 44 rows are filler).,"stim['experiment'].value_counts() = {critical:32, filler:12}; filler-sentence/converted-unit set intersection = 12/12 (full leak); converted row count 44 = 32+12.","Rebuild keeping only stimuli.csv rows where experiment == 'critical' (drop experiment=='filler'), joined to data.csv on (item,cond).",
crossed_dependencies,surveyor/syntax,issues,filler_items_included,medium,,,yes,"48 of 144 converted units (33%) are unrelated 'filler' declarative sentences with no crossed-dependency manipulation, folded into a dataset named for that manipulation, with no condition tag retained to filter them back out.","Raw stimuli condition counts: filler=48, shortRC_insitu=24, shortRC_extraposed=24, longRC_insitu=24, longRC_extraposed=24. Example filler sentence: 'Barbara was concerned about the surgery which the dentist had recommended.' All 144 converted units match all 144 raw stimuli 1:1 by sentence text (filler included).","Drop rows where raw stimuli condition=='filler' before building the norm CSV (or split into a separate filler norm), using the surveyor stimuli 'condition' column as the filter key.",
crossed_dependencies,surveyor/syntax,issues,misleading_boilerplate_instruction,high,True,,yes,"Instruction file's first sentence claims 'there are correct answers for many questions', but this is a purely subjective naturalness-rating task with no comprehension/correctness component; the clause misrepresents the task.",Instruction file line 1: 'Please read each sentence and then answer the question immediately following. Please note that there are correct answers for many questions.' Raw stimuli literal_response column is NaN for all 144 rows; question_type is uniformly multiple_choice naturalness rating; parameters.json has no instructions field describing correctness (only redirect_link/ordered/oneatatime).,"Please read each sentence and then answer the question immediately following.
How natural do you find the statement above?
Rate on a scale from 5 - Very Natural to 1 - Very Unnatural.
Answer with one number.

<<{sentence}>>",
crossed_dependencies_long,surveyor/syntax,issues,filler_items_included,medium,,,yes,"48 of 192 converted units (25%) are the same unrelated filler sentences as in crossed_dependencies, folded into the converted CSV with no way to filter them out downstream.","Raw stimuli condition counts: filler=48, shortRC_extraposed=24, shortRC_insitu=24, longRC_insitu=24, longRC_extraposed=24, longerRC_insitu=24, longerRC_extraposed=24. All 192 converted units match all 192 raw stimuli 1:1.","Drop rows where raw stimuli condition=='filler' before building the norm CSV, same as crossed_dependencies.",
