collection,dataset,experiment_group,project_group,project_token,series_core,dimension,scale,owner,dates,n_units,evidence,shares_stimuli_weakly_with,confidence,ask_collaborator
mturk,massive_mem_valence_mar_2013_end_1,M-E68,M-P68,massive,massive_mem_valence,valence,Very unpleasant/negative | Quite unpleasant/negative | Neutral | Quite pleasant/positive | Very pleasant/positive,,2013-03-13..2013-03-13,242,"project token 'massive' = massive_mem_arousal_mar_2013 | same stimuli, other dimension: massive_mem_arousal_mar_2013_end_2 (cont=0.92) | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_valence_mar_2014,M-E68,M-P68,massive,massive_mem_valence,valence,Very unpleasant/negative | Quite unpleasant/negative | Neutral | Quite pleasant/positive | Very pleasant/positive,,2014-03-27..2014-03-27,2018,"project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | same stimuli, other dimension: massive_mem_arousal_mar_2014 (cont=0.99) | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_valence_mar_2014_end_1,M-E68,M-P68,massive,massive_mem_valence,valence,Very unpleasant/negative | Quite unpleasant/negative | Neutral | Quite pleasant/positive | Very pleasant/positive,,2014-03-27..2014-03-27,242,"project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | same stimuli, other dimension: massive_mem_arousal_mar_2014_end_1 (cont=0.92) | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,melissa_short_naturalness_test,M-E69,M-P69,melissa,melissa_short_naturalness_test,naturalness,Extremely unnatural | Unnatural | Somewhat strange | Fairly natural | Natural,,2011-03-27..2011-03-27,24,,,singleton,yes
mturk,mk_grammaticality_study_7_20,M-E70,M-P70,mk,mk_grammaticality_study,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2010-07-20..2010-07-20,1528,,,singleton,yes
mturk,neal_norming_1,M-E71,M-P71,neal,neal_norming,plausibility,Very implausible | Somewhat implausible | Possible | Somewhat plausible | Very plausible,,2012-11-03..2012-11-03,704,,,singleton,yes
mturk,noisy_channel_acceptability_1_sept_2013_1,M-E73,M-P74,noisy,noisy_channel_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2013-09-06..2013-09-06,496,project token 'noisy' = 50_sentences_noisy_channel_may_25_2011 | series suffix variant of noisy_channel_acceptability_2_sept_2013 | project token 'noisy' = noisy_rc_norming_oct19,50_sentences_with_2_comp_qs_plus_rating_mar_11_2011 (0.71) | noisy_channel_acceptability_2_sept_2013 (0.67),medium (names only),yes
mturk,noisy_channel_acceptability_2_sept_2013,M-E73,M-P74,noisy,noisy_channel_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2013-09-06..2013-09-07,380,project token 'noisy' = 50_sentences_noisy_channel_may_25_2011 | series suffix variant of noisy_channel_acceptability_1_sept_2013_1 | project token 'noisy' = noisy_rc_norming_oct19,50_sentences_with_2_comp_qs_plus_rating_mar_11_2011 (0.71) | noisy_channel_acceptability_1_sept_2013_1 (0.67),medium (names only),yes
mturk,noisy_rc_norming_oct19,M-E74,M-P74,noisy,noisy_rc_norming_oct19,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-10-19..2011-10-19,128,project token 'noisy' = 50_sentences_noisy_channel_may_25_2011 | project token 'noisy' = noisy_channel_acceptability_1_sept_2013_1 | project token 'noisy' = noisy_channel_acceptability_2_sept_2013,,medium (names only),yes
mturk,orange_camel_sentence_naturalness_survey_nov_2010,M-E75,M-P75,orange,orange_camel_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2010-11-19..2010-11-19,144,,,singleton,yes
mturk,orc_lauren_sentence_naturalness_survey_july_2012,M-E76,M-P76,orc,orc_lauren_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-07-10..2012-07-11,192,,islands_acceptability_expt_2_dec_2_2012 (0.27) | lauren_sentence_naturalness_survey_expt_2_nov_15_2011 (0.34) | lauren_sentence_naturalness_survey_oct_14_2011 (0.50) | sentence_completions_and_islands_acceptability_expt_1_nov_13_2012 (0.38),singleton,yes
mturk,p_p_sentence_naturalness_survey_aug_2010,M-E126,M-P126,p,p_p_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2010-08-08..2010-10-09,252,series suffix variant of p_p_sentence_naturalness_survey_dec_2009 | series suffix variant of p_p_sentence_naturalness_survey_feb | series suffix variant of p_p_sentence_naturalness_survey_jan_2010 | project token 'p' = p_p_sentence_naturalness_survey_june_2013_v3 | series suffix variant of p_p_sentence_naturalness_survey_may_2013,p_p_sentence_naturalness_survey_jan_2010 (0.26),medium (names only),yes
mturk,p_p_sentence_naturalness_survey_dec_2009,M-E126,M-P126,p,p_p_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2009-12-21..2009-12-21,252,series suffix variant of p_p_sentence_naturalness_survey_aug_2010 | same stimuli+dimension as p_p_sentence_naturalness_survey_feb (cont=1.00) | series suffix variant of p_p_sentence_naturalness_survey_feb | same stimuli+dimension as p_p_sentence_naturalness_survey_jan_2010 (cont=1.00) | series suffix variant of p_p_sentence_naturalness_survey_jan_2010,p_p_sentence_naturalness_survey_june_2013_v3 (0.76) | p_p_sentence_naturalness_survey_may_2013_v2 (0.75) | sentence_naturalness_survey_for_formal_link (0.73),high,no
mturk,p_p_sentence_naturalness_survey_feb,M-E126,M-P126,p,p_p_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2010-02-11..2011-02-20,614,series suffix variant of p_p_sentence_naturalness_survey_aug_2010 | same stimuli+dimension as p_p_sentence_naturalness_survey_dec_2009 (cont=1.00) | series suffix variant of p_p_sentence_naturalness_survey_dec_2009 | same stimuli+dimension as p_p_sentence_naturalness_survey_jan_2010 (cont=1.00) | series suffix variant of p_p_sentence_naturalness_survey_jan_2010,p_p_sentence_naturalness_survey_june_2013_v3 (0.76) | p_p_sentence_naturalness_survey_may_2013_v2 (0.75) | sentence_naturalness_survey_for_formal_link (0.73),high,no
mturk,p_p_sentence_naturalness_survey_june_2013_v3,M-E81,M-P126,p,p_p_sentence_naturalness_survey,encounter_likelihood,Extremely unlikely | Somewhat unlikely | Possible | Somewhat likely | Extremely likely,,2013-06-07..2013-06-09,242,"project token 'p' = p_p_sentence_naturalness_survey_aug_2010 | project token 'p' = p_p_sentence_naturalness_survey_dec_2009 | project token 'p' = p_p_sentence_naturalness_survey_feb | same stimuli, other dimension: p_p_sentence_naturalness_survey_jan_2010 (cont=0.97) | project token 'p' = p_p_sentence_naturalness_survey_jan_2010",p_p_sentence_naturalness_survey_dec_2009 (0.76) | p_p_sentence_naturalness_survey_feb (0.76) | p_p_sentence_naturalness_survey_may_2013 (0.76),high,no
mturk,paris_judgments_3_dec_2012,M-E86,M-P86,paris,paris_judgments,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-12-09..2012-12-10,477,same stimuli+dimension as paris_judgments_2_dec_2012_1 (cont=0.91) | series suffix variant of paris_judgments_2_dec_2012_1 | series suffix variant of paris_judgments_dec_2012_1,paris_judgments_dec_2012_1 (0.69) | short_acceptability_feb_6_2014 (0.75),high,no
mturk,paris_judgments_dec_2012_1,M-E86,M-P86,paris,paris_judgments,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-12-07..2012-12-07,488,same stimuli+dimension as paris_judgments_2_dec_2012_1 (cont=1.00) | series suffix variant of paris_judgments_2_dec_2012_1 | series suffix variant of paris_judgments_3_dec_2012,paris_judgments_3_dec_2012 (0.69) | short_acceptability_feb_6_2014 (0.75),high,no
mturk,pascal_1_dec_2012,M-E87,M-P87,pascal,pascal,naturalness,Pas du tout naturelle | Peu naturelle | Passable | Assez naturelle | Tout-à-fait naturelle,,2012-12-21..2012-12-24,544,,,singleton,yes
mturk,presup_survey_1_acd_july_2012,M-E90,M-P89,presup,presup_survey_acd,context_dependence,Definitely need a context | Probably need a context | Neutral | Probably don't need a context | Definitely don't need a context,,2012-07-07..2012-07-07,240,"same stimuli, other dimension: acd_project_expt_23_also_nov_16_2012 (cont=1.00) | same stimuli, other dimension: acd_project_expt_24_same_diff_verbs_nov_16_2012 (cont=1.00) | series suffix variant of presup_survey_2_acd_july_2012 | same stimuli+dimension as presup_survey_3_acd_july_2012 (cont=1.00) | series suffix variant of presup_survey_3_acd_july_2012",acd_project_also_2_nov_22_2012_1 (0.47) | acd_project_also_3_nov_24_2012_2 (0.38) | acd_project_expt_31_same_diff_verbs_nov_16_2012_1 (0.55) | acd_project_expt_42_also_verbs_nov_29_2012_1 (0.41),high,no
mturk,presup_survey_2_acd_july_2012,M-E90,M-P89,presup,presup_survey_acd,context_dependence,Definitely need a context | Probably need a context | Neutral | Probably don't need a context | Definitely don't need a context,,2012-07-07..2012-07-07,240,"same stimuli, other dimension: acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012 (cont=1.00) | series suffix variant of presup_survey_1_acd_july_2012 | series suffix variant of presup_survey_3_acd_july_2012 | same stimuli, other dimension: sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20 (cont=1.00)",acd_project_expt_46_also_in_hkv_2_nov_29_2012_1 (0.47),high,no
mturk,pronouns_following_verbs,M-E91,M-P99,pronouns,pronouns_following_verbs,pronoun_resolution_confidence,Not strong | Reasonably strong | Strong,,2009-11-03..2009-11-20,44,project token 'pronouns' = pronouns_following_verbs_an | project token 'pronouns' = pronouns_following_verbs_an_2 | project token 'pronouns' = pronouns_following_verbs_ce | project token 'pronouns' = pronouns_following_verbs_ce_2 | project token 'pronouns' = pronouns_following_verbs_sm,,medium (names only),yes
mturk,pronouns_following_verbs_an,M-E93,M-P99,pronouns,pronouns_following_verbs_an,pronoun_resolution_confidence,Not strong | Reasonably strong | Strong,,2009-11-30..2009-11-30,44,project token 'pronouns' = pronouns_following_verbs | same stimuli+dimension as pronouns_following_verbs_an_2 (cont=1.00) | series suffix variant of pronouns_following_verbs_an_2 | project token 'pronouns' = pronouns_following_verbs_ce | project token 'pronouns' = pronouns_following_verbs_ce_2,,high,no
mturk,pronouns_following_verbs_ce,M-E95,M-P99,pronouns,pronouns_following_verbs_ce,pronoun_resolution_confidence,Not strong | Reasonably strong | Strong,,2009-11-30..2009-11-30,44,project token 'pronouns' = pronouns_following_verbs | project token 'pronouns' = pronouns_following_verbs_an | project token 'pronouns' = pronouns_following_verbs_an_2 | same stimuli+dimension as pronouns_following_verbs_ce_2 (cont=1.00) | series suffix variant of pronouns_following_verbs_ce_2,,high,no
mturk,pronouns_following_verbs_sm,M-E96,M-P99,pronouns,pronouns_following_verbs_sm,pronoun_resolution_confidence,Not strong | Reasonably strong | Strong,,2009-11-30..2009-11-30,44,project token 'pronouns' = pronouns_following_verbs | project token 'pronouns' = pronouns_following_verbs_an | project token 'pronouns' = pronouns_following_verbs_an_2 | project token 'pronouns' = pronouns_following_verbs_ce | project token 'pronouns' = pronouns_following_verbs_ce_2,,medium (names only),yes
mturk,pronouns_following_verbs_so,M-E98,M-P99,pronouns,pronouns_following_verbs_so,pronoun_resolution_confidence,Not strong | Reasonably strong | Strong,,2009-11-30..2009-11-30,44,project token 'pronouns' = pronouns_following_verbs | project token 'pronouns' = pronouns_following_verbs_an | project token 'pronouns' = pronouns_following_verbs_an_2 | project token 'pronouns' = pronouns_following_verbs_ce | project token 'pronouns' = pronouns_following_verbs_ce_2,,high,no
mturk,pronouns_following_verbs_ve,M-E99,M-P99,pronouns,pronouns_following_verbs_ve,pronoun_resolution_confidence,Not strong | Reasonably strong | Strong,,2009-11-30..2009-11-30,45,project token 'pronouns' = pronouns_following_verbs | project token 'pronouns' = pronouns_following_verbs_an | project token 'pronouns' = pronouns_following_verbs_an_2 | project token 'pronouns' = pronouns_following_verbs_ce | project token 'pronouns' = pronouns_following_verbs_ce_2,,medium (names only),yes
mturk,quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code,M-E102,M-P102,quant,quant_syn_sentences_with_a_question_and_a_rating_code,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2012-04-15..2012-04-15,184,same stimuli+dimension as quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code (cont=0.85) | series suffix variant of quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code | series suffix variant of quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,2wh_3wh_sentence_naturalness_survey_april_2011 (0.58) | cul_jack_sentence_naturalness_survey_2_sept_2011 (0.74) | cul_jack_sentence_naturalness_survey_april_2010 (0.74) | quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code (0.38),high,no
mturk,quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,M-E102,M-P102,quant,quant_syn_sentences_with_a_question_and_a_rating_code,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2012-04-14..2012-04-14,168,same stimuli+dimension as quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code (cont=0.85) | series suffix variant of quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code | series suffix variant of quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,2wh_3wh_sentence_naturalness_survey_april_2011 (0.31) | cul_jack_sentence_naturalness_survey_2_sept_2011 (0.57) | cul_jack_sentence_naturalness_survey_april_2010 (0.57) | quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code (0.38),high,no
mturk,quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,M-E102,M-P102,quant,quant_syn_sentences_with_a_question_and_a_rating_code,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2012-04-16..2012-05-13,126,series suffix variant of quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code | series suffix variant of quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code (0.38) | quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code (0.38),medium (names only),yes
mturk,quantifier_naturalness_survey_june_4_2010,M-E103,M-P103,quantifier,quantifier_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2010-06-04..2010-06-04,192,,,singleton,yes
mturk,quantitative_syntax_survey,M-E104,M-P104,quantitative,quantitative_syntax_survey,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2009-08-25..2009-08-25,121,same stimuli+dimension as chomsky_items_1 (cont=0.91),,high,no
mturk,reasoning_and_language_tasks_survey_code_talkative_pigeon,M-E159,M-P159,reasoning,reasoning_and_language_tasks,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Neutral | Slightly natural | Somewhat natural | Extremely natural,,2013-08-15..2013-08-16,72,same stimuli+dimension as social_interaction_and_language_tasks_survey_code_talkative_pigeon (cont=1.00),eunice_disfluency_nov_15_2011 (0.67),high,no
mturk,richard_islands_acceptability_expt_1_april_25_2013_3,M-E109,M-P110,richard,richard_islands_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2013-04-24..2013-04-24,144,same stimuli+dimension as richard_islands_acceptability_expt_2_april_26_2013 (cont=0.83) | series suffix variant of richard_islands_acceptability_expt_2_april_26_2013 | series suffix variant of richard_islands_acceptability_expt_4_april_26_2013_1 | series suffix variant of richard_islands_acceptability_expt_5_april_27_2013_1 | project token 'richard' = richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,richard_islands_acceptability_expt_4_april_26_2013_1 (0.51) | richard_islands_acceptability_expt_5_april_27_2013_1 (0.52) | richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl (0.24),high,no
mturk,richard_islands_acceptability_expt_2_april_26_2013,M-E109,M-P110,richard,richard_islands_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2013-04-25..2013-04-26,228,same stimuli+dimension as richard_islands_acceptability_expt_1_april_25_2013_3 (cont=0.83) | series suffix variant of richard_islands_acceptability_expt_1_april_25_2013_3 | same stimuli+dimension as richard_islands_acceptability_expt_4_april_26_2013_1 (cont=0.92) | series suffix variant of richard_islands_acceptability_expt_4_april_26_2013_1 | series suffix variant of richard_islands_acceptability_expt_5_april_27_2013_1,richard_islands_acceptability_expt_5_april_27_2013_1 (0.61) | richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl (0.36),high,no
mturk,richard_islands_acceptability_expt_4_april_26_2013_1,M-E109,M-P110,richard,richard_islands_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2013-04-26..2013-04-26,100,series suffix variant of richard_islands_acceptability_expt_1_april_25_2013_3 | same stimuli+dimension as richard_islands_acceptability_expt_2_april_26_2013 (cont=0.92) | series suffix variant of richard_islands_acceptability_expt_2_april_26_2013 | series suffix variant of richard_islands_acceptability_expt_5_april_27_2013_1 | project token 'richard' = richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,richard_islands_acceptability_expt_1_april_25_2013_3 (0.51) | richard_islands_acceptability_expt_5_april_27_2013_1 (0.65) | richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl (0.36),high,no
mturk,richard_islands_acceptability_expt_5_april_27_2013_1,M-E109,M-P110,richard,richard_islands_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2013-04-27..2013-04-27,132,series suffix variant of richard_islands_acceptability_expt_1_april_25_2013_3 | series suffix variant of richard_islands_acceptability_expt_2_april_26_2013 | series suffix variant of richard_islands_acceptability_expt_4_april_26_2013_1 | project token 'richard' = richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,richard_islands_acceptability_expt_1_april_25_2013_3 (0.52) | richard_islands_acceptability_expt_2_april_26_2013 (0.61) | richard_islands_acceptability_expt_4_april_26_2013_1 (0.65) | richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl (0.36),medium (names only),yes
mturk,richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,M-E110,M-P110,richard,richard_islands_acceptability_while_whq_decl,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2013-04-28..2013-05-04,100,project token 'richard' = richard_islands_acceptability_expt_1_april_25_2013_3 | project token 'richard' = richard_islands_acceptability_expt_2_april_26_2013 | project token 'richard' = richard_islands_acceptability_expt_4_april_26_2013_1 | project token 'richard' = richard_islands_acceptability_expt_5_april_27_2013_1,richard_islands_acceptability_expt_1_april_25_2013_3 (0.24) | richard_islands_acceptability_expt_2_april_26_2013 (0.36) | richard_islands_acceptability_expt_4_april_26_2013_1 (0.36) | richard_islands_acceptability_expt_5_april_27_2013_1 (0.36),medium (names only),yes
mturk,semantics1_finalproject,M-E111,M-P111,semantics1,semantics1_finalproject,agreement,Totally disagree | Somewhat disagree | Not sure | Somewhat agree | Totally agree,,2011-05-04..2011-05-04,96,,,singleton,yes
mturk,semantics2_finalproject,M-E112,M-P112,semantics2,semantics2_finalproject,agreement,Totally disagree | Somewhat disagree | Not sure | Somewhat agree | Totally agree,,2011-05-02..2011-05-02,96,,,singleton,yes
mturk,semantics3_final_project,M-E113,M-P113,semantics3,semantics3_project,agreement,Totally disagree | Somewhat disagree | Not sure | Somewhat agree | Totally agree,,2011-05-02..2011-05-02,96,,,singleton,yes
mturk,sentence_completions_and_islands_acceptability_expt_1_nov_13_2012,M-E114,M-P114,completions,sentence_completions_and_islands_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-13..2012-12-02,112,same stimuli+dimension as islands_acceptability_expt_2_dec_2_2012 (cont=0.86),lauren_sentence_naturalness_survey_expt_2_nov_15_2011 (0.43) | lauren_sentence_naturalness_survey_oct_14_2011 (0.56) | orc_lauren_sentence_naturalness_survey_july_2012 (0.38) | wm2_wm5_9_59_sentence_naturalness_survey_april_2011 (0.28),high,no
mturk,sentence_naturalness_isac_survey_feb_2011,M-E115,M-P115,isac,sentence_naturalness_isac_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-02-18..2011-02-18,304,"same stimuli, other dimension: isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c (cont=1.00) | project token 'isac' = isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c | same stimuli, other dimension: isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra (cont=1.00) | project token 'isac' = isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra",sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig (0.21) | sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig (0.24),high,no
mturk,sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1,M-E117,M-P89,acd,sentence_naturalness_survey_acd_ratings_hackl,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2012-10-25..2012-10-25,176,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_no_context_polly_1_nov_23_2012 (0.42) | acd_project_also_3_nov_24_2012_2 (0.25) | acd_project_expt_44_the_same_nov_29_2012_1 (0.27) | sentence_naturalness_survey_acd_ratings_v2_jan_2012 (0.62),high,no
mturk,sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20,M-E118,M-P89,acd,sentence_naturalness_survey_acd_ratings_hackl_replic,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2012-07-14..2012-07-14,480,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_project_also_2_nov_22_2012_1 (0.25) | acd_project_also_3_nov_24_2012_2 (0.38) | acd_project_expt_23_also_nov_16_2012 (0.50) | acd_project_expt_24_same_diff_verbs_nov_16_2012 (0.51),high,no
mturk,sentence_naturalness_survey_acd_ratings_v4_july_13_2012,M-E120,M-P89,acd,sentence_naturalness_survey_acd_ratings,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2012-07-13..2012-07-13,176,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_no_context_polly_1_nov_23_2012 (0.42) | acd_project_also_3_nov_24_2012_2 (0.25) | acd_project_expt_44_the_same_nov_29_2012_1 (0.36) | sentence_naturalness_survey_acd_ratings_hackl_expt_5_oct_25_2012_1 (0.62),high,no
mturk,sentence_naturalness_survey_acd_v1_jan_2012,M-E122,M-P89,acd,sentence_naturalness_survey_acd,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2012-01-24..2012-01-24,128,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_context_polly_1_nov_23_2012 (0.25) | sentence_naturalness_survey_acd_v6_oct_25_2012 (0.62) | sentence_naturalness_survey_for_jkm_jan_2012 (0.23),medium (names only),yes
mturk,sentence_naturalness_survey_acd_v6_oct_25_2012,M-E122,M-P89,acd,sentence_naturalness_survey_acd,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2012-10-25..2012-10-25,128,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_context_polly_1_nov_23_2012 (0.25) | sentence_naturalness_survey_acd_v1_jan_2012 (0.62),medium (names only),yes
mturk,sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig,M-E124,M-P124,denise,sentence_naturalness_survey_denise,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2011-01-12..2011-01-13,200,series suffix variant of sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig,isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c (0.21) | isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra (0.21) | sentence_naturalness_isac_survey_feb_2011 (0.21) | sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig (0.60),medium (names only),yes
mturk,sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig,M-E124,M-P124,denise,sentence_naturalness_survey_denise,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2010-09-08..2010-09-09,224,series suffix variant of sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig,isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c (0.24) | isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra (0.24) | sentence_naturalness_isac_survey_feb_2011 (0.24) | sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig (0.60),medium (names only),yes
mturk,sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo,M-E155,M-P162,sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo,sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2012-02-15..2012-02-15,120,"same stimuli+dimension as sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo (cont=0.99) | same stimuli, other dimension: verb_particle_ratings (cont=0.99)",,high,no
