task,level,sublevel,source,language,scale,n_items,n_ratings,ratings_per_item_min,ratings_per_item_median,ratings_per_item_max,has_individual_ratings,human_r_sb,human_rho_sb,reliability_items_used,level_decided_by,level_blind_check_agrees,level_rationale,merged_from,question_wording,path
cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,syntax,,mturk,english,1-7,210,11159,18,32,198,True,0.905,0.896,210,andrea_rule_context_v3,True,7 multiple-wh target variants per constant passage (0/30 families vary context): context inert → syntax | MERGED 2026-08-22 with cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an (identical items + instruction; ratings pooled),cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an,reconstructed: passage-plus-final-target-sentence structure verified directly in converted CSV units; dimension not stated in raw HIT Title/Description ('54 short texts with two comprehension questions and a rating'),data/syntax/cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions
cul_jack_sentence_naturalness_survey_april_2010,syntax,,mturk,english,1-5,220,24336,46,63,352,True,0.98,0.952,220,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with cul_jack_sentence_naturalness_survey_2_sept_2011 (identical items + instruction; ratings pooled) | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with 2wh_3wh_sentence_naturalness_survey_april_2011",cul_jack_sentence_naturalness_survey_2_sept_2011;2wh_3wh_sentence_naturalness_survey_april_2011,folder-name convention ('Sentence naturalness survey'); raw HIT Title/Description generic ('70 sentences followed by a question and a rating'),data/syntax/cul_jack_sentence_naturalness_survey_april_2010
dative_alternation_extension_version_2,syntax,,surveyor,english,1-5,229,2301,1,5,32,True,0.438,0.456,220,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/dative_alternation_extension_version_2
dentella2023_grammaticality,syntax,,published,english,0-1,80,8000,100,100,100,True,0.985,0.981,80,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/dentella2023_grammaticality
erp_norming_error_detection_june_2013_4,syntax,,mturk,english,1-5,323,9545,28,29,59,True,0.924,0.841,323,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"raw HIT Title states the dimension verbatim ('Read a sentence, answer a question, and rate the likelihood of error')",data/syntax/erp_norming_error_detection_june_2013_4
erp_sentence_naturalness_survey_june_2013_2,syntax,,mturk,english,1-5,483,9618,18,20,20,True,0.959,0.922,483,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,raw HIT Title states the dimension verbatim ('165 sentences to be rated for naturalness'),data/syntax/erp_sentence_naturalness_survey_june_2013_2
eunice_disfluency_2_nov_17_2011,syntax,,mturk,english,1-5,190,7414,8,22,132,True,0.84,0.832,190,fable_resolution,True,"naturalness of sentences varying in extraposition/disfluency placement; structural by default (performance variable noted) | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with disfluencies_sentence_naturalness_survey_april_2011",disfluencies_sentence_naturalness_survey_april_2011,folder-name convention ('disfluency' naturalness study); raw HIT Title/Description generic ('60 sentences followed by a question and a rating'),data/syntax/eunice_disfluency_2_nov_17_2011
eunice_disfluency_nov_15_2011,syntax,,mturk,english,1-5,468,6655,8,10,62,True,0.814,0.807,468,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,folder-name convention ('disfluency' naturalness study); raw HIT Title/Description generic ('108 sentences followed by a question and a rating'),data/syntax/eunice_disfluency_nov_15_2011
european_portuguese_rc,syntax,,surveyor,non-english,1-7,174,2849,3,9,53,True,0.86,0.84,174,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/european_portuguese_rc
european_portuguese_wh,syntax,,surveyor,non-english,1-7,174,2744,3,9,51,True,0.892,0.893,174,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/european_portuguese_wh
extension,syntax,,surveyor,english,1-7,138,1527,4,10,28,True,0.895,0.872,138,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/extension
gabriel_rc,syntax,,surveyor,non-english,1-7,174,2794,2,9,52,True,0.892,0.818,174,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/gabriel_rc
gabriel_wh,syntax,,surveyor,non-english,1-7,174,2912,2,10,54,True,0.904,0.902,174,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/gabriel_wh
huang_response_set1a,syntax,,surveyor,english,1-7,288,14347,48,50,50,True,0.966,0.966,288,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/huang_response_set1a
huang_response_set1b,syntax,,surveyor,english,1-7,288,14358,47,50,51,True,0.963,0.964,288,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/huang_response_set1b
huang_response_set2a,syntax,,surveyor,english,1-7,288,14354,48,50,50,True,0.971,0.97,288,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/huang_response_set2a
huang_response_set2a_declaratives,syntax,,surveyor,english,1-7,288,14328,48,50,50,True,0.97,0.97,288,fable_resolution,True,"acceptability of verb/adjective + complement frames (subcategorization) — syntax-lexicon interface, treated as syntax",,,data/syntax/huang_response_set2a_declaratives
huang_response_set2b,syntax,,surveyor,english,1-7,288,14324,48,50,50,True,0.971,0.97,288,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/huang_response_set2b
huang_response_set2b_declaratives,syntax,,surveyor,english,1-7,288,14364,49,50,50,True,0.974,0.974,288,fable_resolution,True,"acceptability of verb/adjective + complement frames (subcategorization) — syntax-lexicon interface, treated as syntax",,,data/syntax/huang_response_set2b_declaratives
isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c,syntax,,mturk,english,1-7,256,10712,38,42,46,True,0.904,0.885,256,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra (identical items + instruction; ratings pooled)",isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra,folder-name convention ('Sentence naturalness survey'); raw HIT Title/Description generic ('64 sentences followed by a question and a rating: survey code = GIANT-COBRA'),data/syntax/isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c
islands_acceptability_expt_2_dec_2_2012,syntax,,mturk,english,1-5,480,5574,5,11,24,True,0.873,0.874,480,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/islands_acceptability_expt_2_dec_2_2012
lauren_sentence_naturalness_survey_expt3_nov_17_2011,syntax,,mturk,english,1-5,460,7968,7,8,80,True,0.696,0.633,460,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,"reconstructed: question wording ('How natural does the sentence sound?') inferred from the 5-point naturalness scale (Extremely unnatural..Extremely natural) verbatim-verified in questionnaire_wording.csv row for source_folder and in the recovered local generator template html_maker_rating.py ($OD/.../replication/html_maker_rating.py, 'Sentence rating:' radio labels, match_score 1.0); no explicit interrogative question text survives in the recovered template (raw HIT Title/Description name no dimension).",data/syntax/lauren_sentence_naturalness_survey_expt3_nov_17_2011
lauren_sentence_naturalness_survey_expt_2_nov_15_2011,syntax,,mturk,english,1-5,252,7121,9,11,85,True,0.906,0.712,252,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,"reconstructed: question wording ('How natural does the sentence sound?') inferred from the 5-point naturalness scale (Extremely unnatural..Extremely natural) verbatim-verified in questionnaire_wording.csv row for source_folder and in the recovered local generator template html_maker_rating.py ($OD/.../replication/html_maker_rating.py, 'Sentence rating:' radio labels, match_score 1.0); no explicit interrogative question text survives in the recovered template (raw HIT Title/Description name no dimension).",data/syntax/lauren_sentence_naturalness_survey_expt_2_nov_15_2011
lauren_sentence_naturalness_survey_oct_14_2011,syntax,,mturk,english,1-5,360,5318,4,6,60,True,0.806,0.703,360,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording ('How natural does the sentence sound?') inferred from the 5-point naturalness scale (Extremely unnatural..Extremely natural) verbatim-verified in questionnaire_wording.csv row for source_folder and in the recovered local generator template html_maker_rating.py ($OD/.../replication/html_maker_rating.py, 'Sentence rating:' radio labels, match_score 1.0); no explicit interrogative question text survives in the recovered template (raw HIT Title/Description name no dimension).",data/syntax/lauren_sentence_naturalness_survey_oct_14_2011
lexical_frame_adjectives_likert_set1,syntax,,surveyor,english,1-5,384,7668,19,20,20,True,0.826,0.83,384,fable_resolution,True,"acceptability of verb/adjective + complement frames (subcategorization) — syntax-lexicon interface, treated as syntax",,,data/syntax/lexical_frame_adjectives_likert_set1
lexical_frame_adjectives_likert_set2,syntax,,surveyor,english,1-5,384,7646,18,20,20,True,0.736,0.744,384,fable_resolution,True,"acceptability of verb/adjective + complement frames (subcategorization) — syntax-lexicon interface, treated as syntax",,,data/syntax/lexical_frame_adjectives_likert_set2
lexical_frame_adjectives_likert_set3,syntax,,surveyor,english,1-5,384,7643,18,20,20,True,0.872,0.873,384,fable_resolution,True,"acceptability of verb/adjective + complement frames (subcategorization) — syntax-lexicon interface, treated as syntax",,,data/syntax/lexical_frame_adjectives_likert_set3
missing_vp_extension,syntax,,surveyor,english,1-5,80,3715,22,61,62,True,0.895,0.881,80,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,,data/syntax/missing_vp_extension
missing_vp_extension_0501_final,syntax,,surveyor,english,1-5,72,2159,8,17,60,True,0.739,0.741,72,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,,data/syntax/missing_vp_extension_0501_final
missing_vp_rereplication,syntax,,surveyor,english,1-5,72,1151,3,9,32,True,0.674,0.707,72,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,,data/syntax/missing_vp_rereplication
mk_grammaticality_study_7_20,syntax,,mturk,english,1-5,1524,15145,8,10,10,True,0.874,0.876,1524,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,raw participant-facing Description in all 24 batch files states the dimension verbatim: 'Read and rate the naturalness of 140 sentences (Red-Rhinoceros code name)',data/syntax/mk_grammaticality_study_7_20
noisy_channel_acceptability_1_sept_2013_1,syntax,,mturk,english,1-5,496,9546,13,15,60,True,0.983,0.921,496,andrea_scheme_v4,False,"one noisy-channel design (stimulus-backed group): items are corrupted versions of base sentences — word-order transpositions, insertions/deletions (dominant) plus some role reversals; classified by the dominant structural manipulation, mixed nature noted",,no dimension stated in raw Title/Description ('Ratings and comprehension questions for 160 sentences'); dimension inferred from folder name ('acceptability') only,data/syntax/noisy_channel_acceptability_1_sept_2013_1
noisy_channel_acceptability_2_sept_2013,syntax,,mturk,english,1-5,380,23804,14,59,239,True,0.99,0.965,380,andrea_scheme_v4,True,"one noisy-channel design (stimulus-backed group): items are corrupted versions of base sentences — word-order transpositions, insertions/deletions (dominant) plus some role reversals; classified by the dominant structural manipulation, mixed nature noted",,no dimension stated in raw Title/Description ('Ratings and comprehension questions for 80 sentences'); dimension inferred from folder name ('acceptability') only,data/syntax/noisy_channel_acceptability_2_sept_2013
of_acceptability_2,syntax,,surveyor,english,1-5,88,3837,20,38,60,True,0.956,0.951,88,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/of_acceptability_2
orc_lauren_sentence_naturalness_survey_july_2012,syntax,,mturk,english,1-5,192,8605,14,29,120,True,0.955,0.948,192,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,raw folder name states the dimension ('sentence naturalness survey'); no per-item question text in export,data/syntax/orc_lauren_sentence_naturalness_survey_july_2012
p_p_sentence_naturalness_survey_aug_2010,syntax,,mturk,english,1-5,252,19122,29,32,190,True,0.878,0.859,252,andrea_scheme_v4,True,"single-sentence donkey-anaphora / pronoun-binding items (formal link); within-sentence binding → syntax, consistent with Andrea's decision on p_p_june_2013_v3 and codebook v4 boundary rule",,raw folder name states the dimension ('sentence naturalness survey'); no per-item question text in export,data/syntax/p_p_sentence_naturalness_survey_aug_2010
p_p_sentence_naturalness_survey_dec_2009,syntax,,mturk,english,1-5,324,60653,18,108,602,True,0.948,0.95,324,andrea_scheme_v4,True,"single-sentence donkey-anaphora / pronoun-binding items (formal link); within-sentence binding → syntax, consistent with Andrea's decision on p_p_june_2013_v3 and codebook v4 boundary rule",p_p_sentence_naturalness_survey_jan_2010;p_p_sentence_naturalness_survey_may_2013;p_p_sentence_naturalness_survey_may_2013_v2;sentence_naturalness_survey_for_formal_link,raw folder name states the dimension ('sentence naturalness survey'); no per-item question text in export,data/syntax/p_p_sentence_naturalness_survey_dec_2009
p_p_sentence_naturalness_survey_feb,syntax,,mturk,english,1-5,614,15402,7,16,158,True,0.654,0.664,614,andrea_scheme_v4,True,"single-sentence donkey-anaphora / pronoun-binding items (formal link); within-sentence binding → syntax, consistent with Andrea's decision on p_p_june_2013_v3 and codebook v4 boundary rule",,raw folder name states the dimension ('sentence naturalness survey'); no per-item question text in export,data/syntax/p_p_sentence_naturalness_survey_feb
p_p_sentence_naturalness_survey_june_2013_v3,syntax,,mturk,english,1-5,242,19678,18,48,199,True,0.929,0.928,242,andrea_review_page,True,Andrea (review page): treat with its p_p siblings as the same anaphora paradigm → syntax,,raw folder name states 'naturalness survey' but no per-item question text in export; the recovered scale is a likelihood scale (see notes),data/syntax/p_p_sentence_naturalness_survey_june_2013_v3
paris_judgments_3_dec_2012,syntax,,mturk,english,1-5,477,7714,9,14,28,True,0.873,0.845,477,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,raw Title/Description name no dimension ('80 sentences followed by a rating and a question'); dimension recovered from this row's own dashboard_scale_labels,data/syntax/paris_judgments_3_dec_2012
paris_judgments_dec_2012_1,syntax,,mturk,english,1-5,488,5085,4,10,40,True,0.858,0.857,488,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with paris_judgments_2_dec_2012_1",paris_judgments_2_dec_2012_1,raw Title/Description name no dimension ('96 sentences followed by a rating and a question'); dimension recovered from sibling dashboard_scale_labels,data/syntax/paris_judgments_dec_2012_1
pascal_1_dec_2012,syntax,,mturk,non-english,1-5,544,6086,6,8,64,True,0.042,0.066,544,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/pascal_1_dec_2012
quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code,syntax,,mturk,english,1-7,184,5247,13,15,60,True,0.919,0.91,184,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code
quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,syntax,,mturk,english,1-7,168,8563,43,45,60,True,0.975,0.96,168,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code
quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,syntax,,mturk,english,1-7,126,11065,38,100,160,True,0.986,0.965,126,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code
quantifier_naturalness_survey_june_4_2010,syntax,,mturk,english,1-5,192,7463,18,20,79,True,0.663,0.639,192,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/quantifier_naturalness_survey_june_4_2010
quantitative_syntax_survey,syntax,,mturk,english,1-5,129,5803,18,39,158,True,0.911,0.852,129,andrea_rule_context_v3,True,"same passages/targets as chomsky_items_1: context inert → syntax | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with chomsky_items_1",chomsky_items_1,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/quantitative_syntax_survey
rating_english_sentences,syntax,,surveyor,english,1-7,240,6281,10,22,40,True,0.9,0.899,240,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/rating_english_sentences
reasoning_and_language_tasks_survey_code_talkative_pigeon,syntax,,mturk,english,1-7,72,8590,88,90,180,True,0.953,0.941,72,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with social_interaction_and_language_tasks_survey_code_talkative_pigeon (identical items + instruction; ratings pooled)",social_interaction_and_language_tasks_survey_code_talkative_pigeon,reconstructed,data/syntax/reasoning_and_language_tasks_survey_code_talkative_pigeon
relative_clause_displacements_in_english_sentences,syntax,,surveyor,english,1-5,180,897,1,5,11,True,0.507,0.501,170,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,,data/syntax/relative_clause_displacements_in_english_sentences
relative_clause_displacements_in_english_sentences_with_fill,syntax,,surveyor,english,1-5,93,2673,13,22,84,True,0.845,0.846,93,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,,data/syntax/relative_clause_displacements_in_english_sentences_with_fill
richard_islands_acceptability_expt_1_april_25_2013_3,syntax,,mturk,english,1-5,144,2856,9,10,40,True,0.963,0.819,144,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/richard_islands_acceptability_expt_1_april_25_2013_3
richard_islands_acceptability_expt_2_april_26_2013,syntax,,mturk,english,1-5,228,4731,9,10,80,True,0.951,0.92,228,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/richard_islands_acceptability_expt_2_april_26_2013
richard_islands_acceptability_expt_4_april_26_2013_1,syntax,,mturk,english,1-5,100,2058,9,10,40,True,0.964,0.931,100,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/richard_islands_acceptability_expt_4_april_26_2013_1
richard_islands_acceptability_expt_5_april_27_2013_1,syntax,,mturk,english,1-5,132,2060,5,9,40,True,0.874,0.619,132,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/richard_islands_acceptability_expt_5_april_27_2013_1
richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,syntax,,mturk,english,1-5,100,7211,32,35,140,True,0.985,0.965,100,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl
russian_freezing,syntax,,surveyor,non-english,1-5,180,1503,2,8,17,True,0.905,0.898,180,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/russian_freezing
sentence_completions_and_islands_acceptability_expt_1_nov_13_2012,syntax,,mturk,english,1-5,112,13215,19,137,140,True,0.984,0.969,112,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/sentence_completions_and_islands_acceptability_expt_1_nov_13_2012
sentence_naturalness_isac_survey_feb_2011,syntax,,mturk,english,1-5,304,7641,11,12,96,True,0.829,0.836,304,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/sentence_naturalness_isac_survey_feb_2011
sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1,syntax,,mturk,english,1-5,176,6614,7,25,120,True,0.867,0.886,176,andrea_policy_Q1,True,"isolated sentences, no context; ellipsis/ACD structure varies | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with sentence_naturalness_survey_acd_ratings_hackl_expt_5_oct_25_2012_1",sentence_naturalness_survey_acd_ratings_hackl_expt_5_oct_25_2012_1,reconstructed,data/syntax/sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1
sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20,syntax,,mturk,english,1-5,480,7152,13,15,15,True,0.867,0.864,480,andrea_policy_Q1,True,"isolated sentences, no context; ellipsis/ACD structure varies",,reconstructed,data/syntax/sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20
sentence_naturalness_survey_acd_ratings_v4_july_13_2012,syntax,,mturk,english,1-5,176,8915,9,35,161,True,0.776,0.748,176,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with sentence_naturalness_survey_acd_ratings_v2_jan_2012",sentence_naturalness_survey_acd_ratings_v2_jan_2012,reconstructed,data/syntax/sentence_naturalness_survey_acd_ratings_v4_july_13_2012
sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig,syntax,,mturk,english,1-7,200,31957,97,199,201,True,0.992,0.986,200,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig
sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig,syntax,,mturk,english,1-7,224,31113,94,98,198,True,0.986,0.972,224,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig
sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo,syntax,,mturk,english,1-7,120,4775,18,20,80,True,0.917,0.912,120,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo
sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo,syntax,,mturk,english,1-7,232,2556,4,5,40,True,0.753,0.744,232,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed: 'How natural does the sentence sound?' inferred from the recovered naturalness scale and the folder-name convention shared with all sibling '*sentence naturalness survey*' folders in this corpus; no literal on-page question text recovered for this specific folder (dashboard_instructions field empty in questionnaire_wording.csv).,data/syntax/sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo
sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,syntax,,mturk,english,1-7,84,1434,9,10,40,True,0.809,0.757,84,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed: 'How natural does the sentence sound?' inferred from the recovered naturalness scale and the folder-name convention shared with all sibling '*sentence naturalness survey*' folders in this corpus; no literal on-page question text recovered for this specific folder (dashboard_instructions field empty in questionnaire_wording.csv).,data/syntax/sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat
sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,syntax,,mturk,english,1-7,270,14329,41,46,69,True,0.959,0.956,270,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed: 'How natural does the sentence sound?' inferred from the recovered naturalness scale and the folder-name convention shared with all sibling '*sentence naturalness survey*' folders in this corpus; no literal on-page question text recovered for this specific folder (dashboard_instructions field empty in questionnaire_wording.csv).,data/syntax/sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown
short_acceptability_feb_6_2014,syntax,,mturk,english,1-5,128,2904,12,13,52,True,0.928,0.907,128,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: 'How natural does the sentence sound?' -- no dashboard_scale_labels/dashboard_instructions recovered for this folder (wording_sources=local_template;csv_input_questions only); question wording follows the corpus-wide convention that tedlab 'acceptability' studies use the naturalness-scale question (see scale_source), not a literal recovered question string.",data/syntax/short_acceptability_feb_6_2014
susan_canonicity_rerunning_2,syntax,,surveyor,english,1-5,52,2864,27,59,73,True,0.956,0.95,52,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with susan_canonicity_rerunning_3",susan_canonicity_rerunning_3,,data/syntax/susan_canonicity_rerunning_2
topicalization_e1,syntax,,surveyor,english,1-5,77,3733,21,49,60,True,0.982,0.942,77,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with topicalization_e1_v2",topicalization_e1_v2,,data/syntax/topicalization_e1
tuckute2024_grammatical_well_formedness,syntax,,published,english,1-7,2000,0,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/tuckute2024_grammatical_well_formedness
verb_causality_study_syntax_ratings_mk_april_2010,syntax,,mturk,english,1-5,653,4628,1,4,24,True,0.628,0.633,565,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: 'How natural does the sentence sound?', following the naturalness-scale convention evidenced by SCALE_CATALOG.md row 29 (see scale_source).",data/syntax/verb_causality_study_syntax_ratings_mk_april_2010
verb_particle_ratings,syntax,,mturk,english,1-5,136,512,2,2,8,True,0.716,0.66,136,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,raw HIT Description recovered verbatim in questionnaire_wording.csv states the dimension outright: 'Rate English sentences for how good they sound.' -- rendered as 'How natural does the sentence sound?' per corpus convention (Description text itself is not phrased as a question).,data/syntax/verb_particle_ratings
wm2_wm5_9_59_sentence_naturalness_survey_april_2011,syntax,,mturk,english,1-5,219,3348,7,11,48,True,0.886,0.839,219,fable_resolution,True,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",,"reconstructed: 'How natural does the sentence sound?' -- raw Title/Description in questionnaire_wording.csv name no dimension explicitly, but the folder-name convention ('sentence naturalness survey') and the exact-match template scale (see scale_source) jointly support this question.",data/syntax/wm2_wm5_9_59_sentence_naturalness_survey_april_2011
50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,sentence_semantics,plausibility,mturk,english,1-5,208,3053,13,15,15,True,0.561,0.588,208,fable_resolution,False,explicit likelihood-of-event rating; both agents agree,,reconstructed,data/sentence_semantics/50_sentences_with_2_comp_qs_plus_rating_mar_11_2011
aixiu_coherence_en_update1,sentence_semantics,plausibility,surveyor,english,1-7,277,2946,2,11,24,True,0.893,0.882,277,andrea_policy_Q5,True,"naturalness asked, but items vary in meaning (semantic/animacy anomalies, malapropisms, personification)",,,data/sentence_semantics/aixiu_coherence_en_update1
amouyal2024_plausibility,sentence_semantics,plausibility,published,english,1-7,853,17154,6,14,100,True,0.947,0.915,853,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/sentence_semantics/amouyal2024_plausibility
brief_sentence_naturalness_survey_march_2011,sentence_semantics,plausibility,mturk,english,1-5,64,1864,26,29,31,True,0.99,0.96,64,andrea_policy_Q5,True,"naturalness asked, but items vary in meaning (semantic/animacy anomalies, malapropisms, personification)",,reconstructed,data/sentence_semantics/brief_sentence_naturalness_survey_march_2011
depth_charge_survey,sentence_semantics,plausibility,surveyor,english,1-7,188,3394,4,11,37,True,0.843,0.846,188,fable_resolution,True,"comparative-illusion items: logical/semantic sense varies, structure constant",,,data/sentence_semantics/depth_charge_survey
depth_charge_with_noise,sentence_semantics,plausibility,surveyor,english,1-7,188,3206,3,10,35,True,0.857,0.854,188,fable_resolution,False,"comparative-illusion items: logical/semantic sense varies, structure constant",,,data/sentence_semantics/depth_charge_with_noise
discourse_imagability_pairs_list1,sentence_semantics,conceptual_content,surveyor,english,1-7,100,2992,29,30,30,True,0.919,0.917,100,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/sentence_semantics/discourse_imagability_pairs_list1
